interval,avg_soc_pct,battery_charge_u,battery_discharge_u,curtail_u,utility_export_u
0,50.0,0,45,0,0
1,49.70074283921317,4,51,0,0
2,49.38745475353428,2,64,0,0
3,48.97216180267823,1,64,0,0
4,48.5519720514338,0,55,0,0
5,48.184060254860555,4,52,0,0
6,47.86258092864843,0,50,0,0
7,47.525219638880635,0,52,0,0
8,47.180184337354405,2,61,0,0
9,46.78541684871465,2,71,0,0
10,46.32977786915946,3,63,0,0
11,45.93494597302944,0,67,0,0
12,45.48826404983256,3,48,0,0
13,45.19025822219398,0,65,0,0
14,44.754056127948765,0,52,0,0
15,44.40397862620703,0,69,0,0
16,43.93975622076331,0,73,0,0
17,43.448865974506525,0,84,0,0
18,42.88250335691129,0,97,0,0
19,42.23034010350276,0,105,0,0
20,41.52803195237168,0,149,0,0
21,40.52908295792652,0,166,0,0
22,39.41999308282179,0,222,0,0
23,37.93664269980144,0,289,0,0
24,36.00966094167818,0,366,0,0
25,33.56570492312848,0,289,0,0
26,31.637935558686337,0,289,0,0
27,29.706280134316422,7,199,0,0
28,28.42893557833167,14,104,0,0
29,27.82994118567631,73,53,0,0
30,27.964006856161145,180,10,0,0
31,29.103533091759914,317,0,0,0
32,31.218545470807285,484,0,0,0
33,34.45110495622543,648,0,0,0
34,38.77203050028617,810,0,0,0
35,44.176820556715754,955,0,0,0
36,50.54545879117137,1041,0,0,0
37,57.488304398731636,1162,0,0,0
38,65.23711018822247,1079,0,0,0
39,72.38585530376723,1170,0,0,3
40,78.82393602796324,1248,0,0,12
41,83.81905673800026,1294,0,0,25
42,87.52782812688118,1311,0,0,52
43,89.31069715605663,1321,0,0,56
44,90.0,1313,0,0,90
45,90.0,1326,0,0,95
46,90.0,1364,0,0,121
47,90.0,1377,0,0,111
48,90.0,1355,0,0,122
49,90.0,1350,0,0,131
50,90.0,1348,0,0,120
51,90.0,1346,0,0,107
52,90.0,1354,0,0,92
53,90.0,1313,0,0,77
54,90.0,1297,0,0,30
55,90.0,1272,0,0,20
56,90.0,1234,0,0,9
57,90.0,1173,0,0,1
58,90.0,1120,0,0,0
59,90.0,1064,0,0,0
60,90.0,952,0,0,0
61,90.0,827,0,0,0
62,90.0,722,0,0,0
63,90.0,566,0,0,0
64,90.0,403,0,0,0
65,90.0,249,0,0,0
66,90.0,47,0,0,0
67,90.0,0,0,0,0
68,90.0,0,29,0,0
69,89.8056429831372,0,159,0,0
70,88.74320828987814,0,344,0,0
71,86.443515227404,0,526,0,0
72,82.93415760427021,0,695,0,0
73,78.2962178274404,0,761,0,0
74,73.21764011553233,0,786,0,0
75,67.97572629896861,0,824,0,0
76,62.479926802078324,0,835,0,0
77,56.90916274068687,0,808,0,0
78,51.52187021506659,0,770,0,0
79,46.38565335021325,0,754,0,0
80,41.35849226814345,0,672,0,0
81,36.877624851803,0,611,0,0
82,32.798692417394804,0,528,0,0
83,29.277568279941953,0,463,0,0
84,26.188558850746546,0,371,0,0
85,23.711609809579937,0,294,0,0
86,21.749920345616957,0,226,0,0
87,20.237775376883356,0,149,0,0
88,19.24217118158879,0,121,0,0
89,18.4353591190484,0,108,0,0
90,17.714002684134027,0,72,0,0
91,17.23192385950733,0,66,0,0
92,16.788683846619595,0,53,0,0
93,16.42991585381275,0,49,0,0
94,16.100228863469585,0,64,0,0
95,15.672602948132328,0,55,0,0
