interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,1250,0,0,0,1,1,RPM5LIVLZK5BBPJ2UTBU2O24WYFG6ZXIG6GOLOU5KXTP2IHZDOCA,SFUCJBXPBK2DU3FRXYED2JKCVHCDXEBUQ4KBZX4MUJBMBEUFRNHQ,
1,0,74,3000000,0,1250,0,0,0,1,1,6XPYNHLVYVA2FMJPGSYQVUTZUWF7AAGP47JFR5VJJL4EJABIPTBQ,VH7D4DIQCBQFW5JGOO7HPS2UUZJYOFZIL33PCWCA7TSWRXASHVUA,
2,0,56,3000000,0,1250,0,0,0,1,1,JCUGLI6GZFRTYE7YMHLW6D4X7IHGE55N6WXJZR5PGNQXWQDLKI2Q,7VEYQK5GOWP2BHOUX3T4FUEQXUT4BCLFFEWSCITAXMVDSLCLXRQA,
3,0,43,3000000,0,1250,0,0,0,1,1,4Y66VDYHGVKQEACEJIAAMYEJAYSCUEEVWTKALWJIBFSXGQBUDYXA,P7KRUXLCYKIULXARV3IKV52D4AOPBSHT64455T6JPOFY46ZKBT6A,
4,0,66,3000000,0,1250,0,0,0,1,1,SVIPLS4MBL7VY5RZ3JB74RBEPPTZYVNSOYOJWCNEWG4WJWND6ODA,5KBAX7V5PNNMN7XG5ZNXP4ZDJDQYFHRALCJX7FAHP4FX4CRXLYTQ,
5,0,76,3000000,0,1250,0,0,0,1,1,XLYLOON7MW4JCZXZTCNX6FMC7J5CUNE6VVDYRRVQ3LWRFA4DM7CA,2UKAJLZKBI7NJIB2W4YVKS6LQVT2MSNZQTXCRQARTD4LCQMHBMNA,
6,0,58,3000000,0,1250,0,0,0,1,1,LB7XL34FNAYB6RPVO3GK3DFWWOZTVFNOWZJX2CGXS5NINSAPCNQA,VYVVEGVCNHXUPD5QNT5QB3DVCOXLJYQEEJDV7TPENLLWI3WYNSHA,
7,0,80,3000000,0,1250,0,0,0,1,1,AZ3EA4LAYNL4ELZJ4P4O6VMA5MXXR53U7KPXEKKSCD47MMT4ORMQ,L3UFBSBMUHCTXPZFDI37INFYZSNP6SBDXFRFVPUSEB37U35PUTSQ,
8,0,57,3000000,0,1250,0,0,0,1,1,VPWYQGQE6BZ5XTUQN57ZPEEX53NLFGTFSGYUL7H2OEMTDLJF2C4A,AYP2LFRBNFX2TWEOYPIFEX7DXIOI4SP5FIEQVBUDAWUL3CASD4ZA,
9,0,63,3000000,0,1250,0,0,0,1,1,DCOW3ASZZREZETJP45QXVXLOCTUZCUOGAUN7IUGF6LTWFZGSUCFQ,OW2QQPFSQNASJIY4PH5EFPCZHADBCJESEKE3CUFFFLOMHXIYWZ3Q,
