interval,seller_addr,buyer_addr,qty_u,kwh_asa_amount,payment_microzar,group_txid,ok,error
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,67ZYIG2F7HC2YGI6MGQ2DBKWQRFQHFDQGXRMLOY5FVI2RYPWG4B5PNNI7I,5,50,145624,AFTIPWF4JBCVTTDSLME5ACC35YNJ7NVZPSALJV743CGW6LQ3P4MA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,DJICF76S3ZL4WE6Y5SP5BHIU7TZLNQESF6DFTVOTGONWL6IFZQHJ4QUAVE,7,70,203874,RP3UQJI6PN4EKPCRI3FASXB7BDCO5P5HMG2LKXNUWZ7B6WT5Z2QA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,GQJ3IAAXUPNJ6ROBA2JQ72F3S2AGYCMURC5JZEI5CNXFISTOLPEJHGN3B4,7,70,203874,IU2JTQHH7VETTONZ4DRBOVY5RY5FB3PVV4HBJ2DMQLJSGXITIN5A,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,GWEQXNXLSQCB6AWLXCU54BNSCTWK3UK574CLEWBFQUT65HCLO5DMT6YEGQ,8,80,232999,KHT22SR7IEQSLC54HQQRXRDAXV5YPXVBBCETZ3WJT2FKZUOFUNPA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,HYJNPKD5XXIW6HOVGVWBLKYQB5GQKQALZRJHNPESDZ5SQIEDJAEJU27TOU,6,60,174749,SKBPGFZX6I7W3YBKGMLGLDAXFJXWEJYQAAR4E6BYNSBJMCYZMULQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,JZG57OVKRVEJSFTJLM5IY5JZJCJLGX64TXQCVQLBLPR3ZWXAARNUKFE244,8,80,232999,KKHBOUWWHVBW4SK2KGD4HAN2GLAUQQEPBUHAUG5WZU46P6DFCGCA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,MKEDDM3XHF3AW2AEQ27B3DWTXLHICSZVLVQNKGRT43HD5UXSAYFOXYGNLY,7,70,203874,NVHAYTTL4PFPFCRORBLKP4Z7OZR6CNJIGXAXJ24T2IC5FSVHBFMA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,OSM4FVXIZ7QCJOUN53IO5JLFINVISJGVXP2SK674HMG6MVFSWWOBRJXJWQ,9,90,262124,MMG5BP5B6W45AVDSD6B523M5JHZ7KMRIE22GDLGXJDBCHD7KEQAA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,RJ7UTWVITJTT6EAJ2V55YTMFCC6UFZCMDAXEO5TGWZJ43XAGSTWDTEUIAA,3,30,87374,7LROWV5JZLSHE6RAY5WGTV4MN7CMRJMOIR6GMTCQM52HUBNHSKHA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,RSPV6P6XJMIZUF4K26B5GSIRCC33K5Z23RNVTM4FVJNHEKIHQK63AN7GJQ,5,50,145624,4KTBYEUYVGWXKRPSHJ5G4DOWBOA24XU54BQLZ5JE5VPFRUVLD27Q,1,
