interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,125,0,0,0,1,1,T6C7OWDN2A2Y2IVMU3YY6Z62GQVFJL27UHWYRKEBVRQY2CYTIUGA,CFJQ5LD5QGEIT4QFK7N2IRIYPD5UDSG2XAPKN5QKA2CCJZNDO5NQ,
1,0,74,3000000,0,125,0,0,0,1,1,CFJGNL2PTA4G4EAEANDGJTWRQCB2VM4QXQPQVTRZV64SS3DQM5WA,LLGAVRXJSJMLZRHQERHJE6REVOAHRVZ6SWYULNM2N6WYANSZEINQ,
2,0,56,3000000,0,125,0,0,0,1,1,L6DJ7CVLLEPIKIJCORWV7OXCNKEQXXAKDQGSYSK6OFNCJJX2BD3Q,5IRNTKZH7FT2OHHVJQQGO6TAKXAXRVJXUL4UXA5D3LJLAYZWZYDQ,
3,0,43,3000000,0,125,0,0,0,1,1,2WSE6WU574LA3KDWTPD6KS7AVKEZTL6CBXFS3HA2WJ3SEI4YFFLQ,PDFNN3P65KKNBQ4FDC2LPVXCOPXC2YF2TGENNC3MFUHZJQIRRCJQ,
4,0,66,3000000,0,125,0,0,0,1,1,M526D5PTSJLRJMXKKTTVPINTZ3TFX4RRRSJQOEC4EZOWIDVKGEAA,OTSQQYAW7XQ2HFXDXPC7RNPSAWNEDROEOPHSXC22QRVOKQF4X3UQ,
5,0,76,3000000,0,125,0,0,0,1,1,DYRY6CZRHLCRBHN2RB2MZ3OXIEBIHCGGOWEFLEUY2YN6PQZJYUZQ,2R5DZ42327376HLA374YUDQILZSED2VB5VKYTD2FZTX72YPYI4DQ,
6,0,58,3000000,0,125,0,0,0,1,1,5CQVBOOYIZ3UHE3CVX7ALLQUIDHZDD7MLQBUKIS3PCTSDLSRGLZA,N3LLZJPRKNZ7AHOT6LF2CZ6GRLSQK7IX5TVKEK2ASJPV45TV2XZQ,
7,0,80,3000000,0,125,0,0,0,1,1,PNNY6SOXRMT6EBJEIDBHM6NZLPSF27ELIL6FR7JVJDRCR5MCWW2A,2K2DJJLGAPHXJWE77AFRCWQLAIBTM2J7GUIEPOIATEBCNSM5XZVA,
8,0,57,3000000,0,125,0,0,0,1,1,3IS2EVMQNCOHDPIKCN26GPQBKC5NXSD2IAXBMIUU5DVCB2WAAZ4A,AUB5IH4VVJRMU3CTGKHSSLZVOD3AHYWF37PLW5TLQQDFIJV3XSOQ,
9,0,63,3000000,0,125,0,0,0,1,1,DH652PZW7JGTKYB7V7FJJ4ITEYED7VI3KTZOE4HNB5UKNKF6EK2Q,YGG6K33RFH4VNTPLJ3KQ5CROWQDQSIJ2SLXACG732SAAKWJMB2LQ,
10,0,73,3000000,0,125,0,0,0,1,1,SX4OYBYMPJV7CT6AORJRDEFYIFWN5SB7ZT64NS6LMIYFN7J2HQSQ,2NFVW3MPQDDL2C3KITQJUG5TMGLVIU4HOQ62T37KS5BEYNAEQP4A,
11,0,69,3000000,0,125,0,0,0,1,1,UQUTKXW4G5GWD2OG6S2OYANFWBDU763JHFCYYC5L6QNUJ3EGQUEQ,4U27HZVJ2SJX6ZY3J52VJFAVOKZMPCJ62MNQZWLOSDY4UTDTXYDQ,
12,0,82,3000000,0,125,0,0,0,1,1,R74IY6AN2V23TLQXU37LFJSZQPZ447QVSLPWXDDEBLK5PGNA35BQ,MWCZMI6RP6JN4623DSLWL6IZV4QUP5NBAURTG6B4J4CZPOQOPVVA,
13,0,80,3000000,0,125,0,0,0,1,1,EJYZOBJ5AM6BNRSPUJS5ULLL57PR6I5NVIBDNWVQXWCNDGJJMVBA,HH5GJ233ZQVKBU6OJAM6LTU57MWGKXM67FHDJZKADP7I5RVUWZ4Q,
14,0,71,3000000,0,125,0,0,0,1,1,ZHWAILMS4EK3W3LSGJDZCCZ5FNT5AAEZP7OVNIPPXKXTAMU4LDFQ,YEFONH3PIGC67AE6JS4M64ZARON5XRC4PV5TR7V4DGH4S2R7LWIA,
15,0,90,3000000,0,125,0,0,0,1,1,VSE2XJSH6GEDDMETRFYGEHYLAKXGXAPXTD54TILQMLBD7WWIEEDA,WRQB2DYXXWQTEPSF7UCMWIHN5L7OYTORNEVZNOAK5RN72Z3TRORQ,
16,0,80,3000000,0,125,0,0,0,1,1,K2RNQRXE5XYJWNHVADXIQJR3NLOEU3BDQE2SFFRHWTSIEAEKJLKQ,5JX4NZUVZAUSWKEAJWLB2GEH7SHY3WXSPC44LUTLHPZC4LXLLTQQ,
17,0,101,3000000,0,125,0,0,0,1,1,E3FGDYF6FFWG2EGNZVXQI4BLGJVHG6P45PRDPGTQBLEP3ULNXAWA,4R6UIBC4RDN5NGBG3GCU7JS3J4C7556NLXT7WMTBJC7WMOD44URA,
18,0,93,3000000,0,125,0,0,0,1,1,F2W2JFXAKXE22D3SYINTTNCIW6TYZGLUFRTPK4JI5IR2L4ETIQRQ,AJ2J5CNCQZ2RSTHFZ6E5RPX3DJENYJAICOS7OV22VKV4BQTQ7WOQ,
19,0,117,3000000,0,125,0,0,0,1,1,5OALKTZKXRCMXSVNULATVUR5AGXVYXXI2MWPDOZGXVSX5TENJKVA,YPJSWXL7II7JD4XZCALTYUXFU3AKJ667QOBMJ4ROIRMQTQFKP3VA,
20,0,145,3000000,0,125,0,0,0,1,1,M5BOPCFAUKTH3NPYIOOJHOGF2GJF5U5KGHTW7YJCKN5KGHOOKBEA,T6W6KCNQ3GB4H5HLS4O4TAO2HYVGORO5KUFO5ORO56IHRWJFHINA,
21,0,186,3000000,0,125,0,0,0,1,1,FRB5AXEK4W4AXMCD464RBJHLQW3FC6OQQJC3VR6CRC2CKCQMVPWQ,R2ZPYE3YUYD65UL6IPUADAUIDF2CSCWNUGVO47FC6RBOAXXM4SYQ,
22,0,233,3000000,0,125,0,0,0,1,1,IWYLTS4A5HD2W7TXZTQESF4XMK37QUKUQSI62MPKOORWGF3H5EEQ,KVX2UC5VBYDTZGOE3PTZTD5WDBRAACCQY2LO2ICCJNT5JD33N6JA,
23,0,294,3000000,0,125,0,0,0,1,1,IYD5GBXZCIUIWLOIKYIRSU372PJSWPG2QFRJVRY3SLGQLISZQL6Q,UVD3XLTJMFW25FUCB4K45UDGU5VCMMUNUBSGSJYELV662F7HVT7Q,
24,0,367,3000000,0,125,0,0,0,1,1,ECR3O6H565ERCE2PUDE7TKXEN3YMDQP3LDP7AG75CG6RG5OI7N7Q,2ABIENMNOPHOCIACAZCBTHLVKMZZG7SSV7PZ5TXAQRWYUXFZZKVA,
25,0,427,3000000,0,125,0,0,0,1,1,T3FLU3RRP3G3SE4GQ5KQMSUPGRVUISIABDAGPEPFUF4WOG63RJYQ,PH2M6BPIXBJ2QXPNLLXZFMO4RT374ODZSL3XNE33TLWHDXQOX77Q,
26,0,507,3000000,0,125,0,0,0,1,1,OF2FXB7O56PAXLH6QHT2Y766NHVZDI46VVCGZA3SE46DKAOPUMUA,Z5PNXBVIHLC3UYYGOA7N5B55XOVWMN2KVZ7ZJH27SAIR2ZL76EZQ,
27,0,513,3000000,0,125,0,0,0,1,1,YNHWRJB7WI5RLNXZHWB6HPTWSTL4KY5WMXZSJOGHG24QPQRBWEHQ,KFTLDNQVIVOQYQMHMKMWTOMLPGDEZTUGJ6JC77POY7QXBIAYR3ZQ,
28,0,542,3000000,0,125,0,0,0,1,1,L2PYXLJ2HVKPUVJ5UPSALKZAPEEHJI7QRDXOCQSG2ALLSA72GXYA,WUSK72RNTHPRLJO4IJ2XXI4EDWAAUFGIXLG2R4TKAQFILYGRVZRQ,
29,0,551,3000000,0,125,0,0,0,1,1,DBRPWMBK4H2LRAZT2325HM375JUKVBVW5COIOPA5FGMBE5DVSQDA,O62GBLMAS2NIK7VBWEQ7LFAPX4GEJMJVAGEODX455IHFY77KKQXQ,
30,0,481,3000000,0,125,0,0,0,1,1,Y2IMQGDKGLN4IFLS5YXT35JN2KZB4FGV7UD3H3IV5YNGMLGMOEMA,OF7DP6Z23H45LFE4D77LYNRXHBHRESNJDBJFWYVMUFIRYWRNWCYQ,
31,0,450,3000000,0,125,0,0,0,1,1,PPNRM6XB74YNW6YHPEOACACBBYDI3QGHMHXIJEPRTWPW7FBIA7HQ,XYKDIYRJXFH27KGCT6TXHNCYQEJICJINVYFZTSX6ZY7I5WLQBVRQ,
32,0,375,3000000,0,125,0,0,0,1,1,3XQNIPSK3EVQLPC4MUA6WUJKL4ZKJDCEB3UD46FDOKCQZGTXRE4Q,TTWI7RZGIYY6ZR6TRVKEJUQBW4ZNGN5NPY6E5RVKT4CMP2XTVT2A,
33,0,336,3000000,0,125,0,0,0,1,1,OLA46MAJ7YHZQCYAQCQ73J3TGQJYIUDW7PE2VGTZJAACDDRYQ7RA,7NPY7BLJMQCXJJZPG4FJWJYDM6ENFO4TSVBTAHNZ7CRKBLKRUPZA,
34,0,258,3000000,0,125,0,0,0,1,1,7Y35FJFKUXEFWSWHJ34DZLWLLJMCFFEVINMW5QRMHPBFUEWR4TOQ,LSCDEA6FQNFIFEOR5ELCOQ62M3AWN3FZYBW5ATINCNAUSDXCW2IA,
