interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,500,0,0,0,1,1,LSVDLD4LTUSKJWSEO7OCYA4VW7QMBLX7L7W5K5LI54VCHBJSG2DQ,AAH3WPR4AEI6G352UPIYZCDC4KHQ4SEPL5IOFGDEH73MK4M7HOYQ,
1,0,74,3000000,0,500,0,0,0,1,1,TMWUKJY67M7FLFSPMUS6KI7L2YKB2UEZT7L26BZ7KNVA3LJQNI7Q,BSMYMOZSBK4OD4Y5UTQS7YPQOPEPYXFHUIR7AVQ3JU2MIPFEE2PA,
2,0,56,3000000,0,500,0,0,0,1,1,JFXE3LPUGGQB3OOKREFJ6NQCE5ASNYVI5DRQ5ROKHQW53EAAX3NA,MVYJWH6O3ZJ4ZUSCU5AUIEQH3LY2RPCGW72CU4AF7S7RSBYAPOTQ,
3,0,43,3000000,0,500,0,0,0,1,1,3B2YWM4OZLPXY2B7N2OKJIS7DQAM7WQYDYILZ5ZYK6ONTEQBMKFQ,DETV6I56JQOUHXAS6FDMV6QY3OSQT3T332DD3STEZAXWG7XX4PZA,
4,0,66,3000000,0,500,0,0,0,1,1,WYNETQ632UQWQU2NAVDOCFGG5P7QZKWMHHW3GK2YJ35K55TOJ2DA,RNW7WQEJURCNIMYPGB44EBNRBZKM7BLABRQCETZAZDCZ2A4G5OFA,
5,0,76,3000000,0,500,0,0,0,1,1,MXBPYGYQL7R2JRD7MJ277GXDWWLQ2KEL6ZERIJJK7JM7NJAT5M5Q,MH4B4MGUVIIMVFFMYQ26U3JLQKT7MH3YYEJORYK545B54I6C4L2Q,
6,0,58,3000000,0,500,0,0,0,1,1,O5NJYNFGSANQIIHYI7VKS25ACU5WJBERHWZQTAJVL24SLUOMVWIQ,EKOLYSPPMX5MPG46VXP7OHGLHPD77HGB56T3YTVR43HSRIILY7AA,
7,0,80,3000000,0,500,0,0,0,1,1,UBDTBKZTAUENLQP6X5MPEUJAQYE4X3TZHOQM7LI5VCHDTZMKBSPQ,IXMNX4K4UENJ4DEJ7AE4KZVQKZC2Q7AXDGCLHLIX5KSDHNSTYA6A,
8,0,57,3000000,0,500,0,0,0,1,1,L37QEUP5NVDLEDJ67BS2HOXJUBCVKLS7ZY46UEAA4SS7UOX5U2LA,BLVCYXZ4E5IN3UYKDF7BCRMWXFBLJE4WWYXPUSWPBDG6PVIWQDVA,
9,0,63,3000000,0,500,0,0,0,1,1,2S52YLDXLXKXKIHUXEPEV2QFTATGZSGLBF6AMD2GY7J3WE6TGQCQ,LRXFX7NCHIXJGKEIEUS7QNGA6MXSBFFNFNZK37PXG4LSE7I5IYWA,
10,0,73,3000000,0,500,0,0,0,1,1,SVPXVWUQMZS32Z2NPGAL7YIGECM25DFGN43UBCRPWTLVADRXHKZQ,3O6BPBWFRFMEK63WMXNTR7SE5EVLCMOFIG42TWYAKEXSXMANB3PA,
11,0,69,3000000,0,500,0,0,0,1,1,LTZT66A7U7C7XPGCTFNWXNH6NNXBYEF3J57E7Y5VFKWLMUQHYJIA,E5W7KEYRRAAFKYNU7NH5BEJCQ24IB4LYH7ZFWNM76TYVFWCPZW7A,
