interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,250,0,0,0,1,1,JX27SPYR25EB2MYEVH3OF7LUTYZ3PWOCLDJJ73DABMAP56NR5NLQ,OE4T6Y6IKSXYFHII46ERWSPL6QP7CACMMBGM2VW7YTWLGO27HJFA,
1,0,74,3000000,0,250,0,0,0,1,1,DMAHZE66JNE3KUOPAK3CANW6DXHZDGFCCXDCNJZVBUCSAJLWTVGQ,525IWQS7PXEIWBLVGMVA7EPKQRTOJPOASLI5DCYU6XZ2KMLSAMUA,
2,0,56,3000000,0,250,0,0,0,1,1,UUOIIB5MZSDMY6PIN5TDS2JNFI3RERL6RNIYXP64DPNIXHSI6V2Q,MHNX5CJPAVSYTZSROTXOXR26ZKLPCSMGL7IISVPFUP4C6MDPQ4JA,
3,0,43,3000000,0,250,0,0,0,1,1,4S4SLG37QP4SWJRYA3Q477BWQKJNPTIF3MBT5V7QL3K6YP5YKENQ,EI36UNFGFTZ3RLXENZWKLDUJS7R7Z3TTD7AFE7HZZRSELKUFEIMA,
4,0,66,3000000,0,250,0,0,0,1,1,O4IBQLADXJ3XPMTK2HL7QACOWSUQIUDFCXJVYQVDQDKYQXWZYZHQ,ADCJ3ZPKWDGW2YRKUOF744KB4QLQT6XGILTKN3WFL4KD4Q4HXF4Q,
5,0,76,3000000,0,250,0,0,0,1,1,CQQM7SRUUYF2F5ICNZMDU3OKOVJ34AXJLW7ZABMUDMJBYS6U6DLA,WNIAT3KY4BX4AW7RLVWAVPYS3CVB7EMDPGKBNX7MZ5VG7H442XPA,
6,0,58,3000000,0,250,0,0,0,1,1,LZZJODQLWGGBOT4IXR6CXIL7VV2Q3PIKYFQVZHVWGANR7LY6PR5A,ZWWN7ZV2NAPEDQZB4TA3GI63NPCLVVVUZUNXVHHBCHPNFVBAPWHQ,
7,0,80,3000000,0,250,0,0,0,1,1,AUBE6BZXDX5T2IHABDPHWHOSDBPZJLA4Q3RQF7CXF4FN7A7I2K2Q,N6TWN4J4NVFSYMWXDYI7U5SBIWNJYYVE72J6R6T3XYZGOOFG6JRQ,
8,0,57,3000000,0,250,0,0,0,1,1,JXNXSJUBRWWFXG4NQCOQZ4IL3JXJ635XPUANG5MZRRBBXHCZKOYA,RTX45Z4MXVWU4TCDCXR2F553GNH63MFFNQ4HCUUAIFMWESCXTJAA,
9,0,63,3000000,0,250,0,0,0,1,1,O7W77UILS7M46PARK4IBJHDIM5PUBTYQIBAQ77EQFOQRAKFPVH7Q,CADQA7YP7FAI5SO533CEZQ56VZRGTOVDWBK7DLH25WDMAN536YTA,
10,0,73,3000000,0,250,0,0,0,1,1,E6NEE6LN75PJOLAJUFXAWVCGAMJ5MZXVL5UTK3L4QUBAQLREGARQ,7NEQV6WJ2YBTPXG5BIPVKIDB2ALGA6WE5ED6XMW3BBQ7IUWLKGMA,
11,0,69,3000000,0,250,0,0,0,1,1,5GC6QBCCGJZGZHAIK5KPK6UXZ62J7D7TIDWAK556ZNJ6VZ7JL4TQ,L6Y6Z6AZN6XQYXRWHH3ZL7WWPAFNNBXTQO674C46RBQ7J4UTAEUQ,
12,0,82,3000000,0,250,0,0,0,1,1,UAK5UYBW4OK2QIZK2OOQIWDEJ2OK7CLGFDVOEFDTAJEFQMLXQ4HA,N6UPUFGUVSPVQIQS262DPNYAX3YYEQIHZPOGDPHT2RUBOYJKBWQQ,
13,0,80,3000000,0,250,0,0,0,1,1,LD5424L672WSKDHO24XNO22MD3WIGCH33CAYSPRDIQRPFJTIVMUQ,I4CH4CK4RRFSGD4LSHRWSM2OYFWZ7GZEBLMNDS2EDEYC5PYSM7PQ,
14,0,71,3000000,0,250,0,0,0,1,1,752DSFGP7EVFEQFG7CB6MJOFISBM2AAODQL7XWABT3L5SJRKCLZQ,BASXOQAA4K2A3WIB3OXMOCWNE3SODBH5557QBADTWQL7SH275ZLQ,
15,0,90,3000000,0,250,0,0,0,1,1,FR2L6JFV74KR4PAAIFH44XV2CSLPM3O3Y7ZPZNB4CHGN5P3DCFVA,CUWFFRYM4FLWWAJKDFFH7DVNY3YB337VJG4JIJYWAU4GWS4N7GPQ,
16,0,80,3000000,0,250,0,0,0,1,1,3L5AWJHE2ILER6LZF2Q7XXMYB5PTSQPN3XQ6JKXNZR6H4D4D2LAA,TW74RILBPAGFZT3O7MOB5JN4EY7GGZYXWH33YLZBJUFH2VRKPP6Q,
17,0,101,3000000,0,250,0,0,0,1,1,AZLMM4GZX7L3ZFSELN4KYWNCZTZJZXS6UXUS4NQYHBQUOER44LXQ,QMQPAU66HRGVIYIHGSGFU44NDQQLQZRZCXFBXB72FN5AFZB2OVWQ,
18,0,93,3000000,0,250,0,0,0,1,1,IMA3PSVGGAVFI7IRWLFQYRXNQ2SE4TJ3R6IRXXWKQC2WTWCSBEZQ,KJEWWVN3SA3ZEVF7T3NP3NTIYJOGIW7EIN67TOBLHYKLCGN2DSUA,
19,0,117,3000000,0,250,0,0,0,1,1,TO7Q55DVP6YKHGSQFFVTGBSJIICHKL5VQVFDCJ2WP422PFI5WXPQ,3GNOIGQBFGTI7OSIU2KSWMF4DDUFXTDAL53BZ6UP6SHJ6MZERRZA,
20,0,145,3000000,0,250,0,0,0,1,1,XUGTZPMDDO4NOCQIL46YSLMHQIKYDPKD3FQL2PJBEI6EXN4HLWKA,RVPXTCUNMOKHH54P4M4TVPH3XAHUB42MT7EKVIZOTEWSGQQIEO5A,
21,0,186,3000000,0,250,0,0,0,1,1,QP7MSGHWGLB6EBOKH2EWH2Q673A6WZV34CIY2FOALME2KBBFGTAA,K6QJH756UZ7725I4XHCJFZVFH2RDF3BHRSVG72WSVCPS3DBDZH6Q,
22,0,233,3000000,0,250,0,0,0,1,1,KIXBV4LDY3FVRVAIBP67V6G2R5YMK4DLDGBZ4HXSEAWNOR3TRQMA,PUPSGSTNAEF4R2L6VA3HZ6YMZPW4F3CGK23ARQFDTOVJSAJDZAVA,
23,0,294,3000000,0,250,0,0,0,1,1,ZW652R3IZW67BST67PAWCBJ6LRQZMWIDKHYOF2YCVQ4FINKHHW7A,26BRJSZNRILYMOJLZMWDVCPEYP63LD6N632ADYTYIZLZYXIP2SJQ,
24,0,367,3000000,0,250,0,0,0,1,1,DFBXILJOEBSQ32J4OUOB5TLQ5NIHUOVR2MT6CF5QJG7PH25H3PAQ,3JBCJTQT2JJ3W7KDHXQHBDLPXEBEHVNWQA4AD54MZG5O2N6NLJ7A,
25,0,427,3000000,0,250,0,0,0,1,1,6NA6PYCOSHQL6UZT2CBU6HZLVJFE5I7CZU7CDVQALSBE2JQLCXCA,YIOE52AEYYJ24WXAU5JMPXFDDPS7QG7WEHGHKFPO4JTMD75TMLQA,
26,0,507,3000000,0,250,0,0,0,1,1,RIZIEXZE4JWPRVOQDNZOKRDQOLUOG5Q5BL4IRLHGQUPHBTGEPHKA,SA6CF7W5UU7HPEO5O7RCDFALBCWYIWODFQ7RRVG7S4BXBHT5ZUVQ,
27,0,513,3000000,0,250,0,0,0,1,1,3PPUMW6QC7JTMHHKEWCLUJFKSM66APJB2V3CEYB2HXOR25N3AFGA,HIU2XWW26PSW32KSK5V5GHFZX3XF3NRAUVJ7BTAJGNLOEABYWTCA,
28,0,542,3000000,0,250,0,0,0,1,1,7XRX45LMVPEXDYUD2IY4NUW7H7K3O6BNOGG2BONEY3N7NMOM444A,7ET4N5UETG4TVRPCB3RPIPH4DTIBWQND3Y2FVYI2GRAR66DGIOWA,
29,0,551,3000000,0,250,0,0,0,1,1,HH2QUO6VPFORELIQIDG2DRWZW3NI5JPH7XRYNVW3Y4ZEUVZV4JPQ,SIT753PQX3Q6NUHCFHL2HIDV72YFZWBDOOVQZAM3VNQCYPPIZTKQ,
30,0,481,3000000,0,250,0,0,0,1,1,QFO3ATFB4HXD6JERBYH7QPFHXBECFCKEZ3CJLUR3LIZI6ASC4NOQ,RZR6GURB2WFN7WTW5JIMQCN3HP5HGXXTOEJA4BWJVSTR22TQO3RQ,
31,0,450,3000000,0,250,0,0,0,1,1,NETLPTDWBFZBOG34QL2LHXLK64J7B2UTMJJLHDHLADKLEVCXZ6HQ,KOKGKNWUDMWO2AWA56CHJ5NBWOPTKKRUNDCQ3WTJLH5PVQ6PQV3Q,
32,0,375,3000000,0,250,0,0,0,1,1,J6TCNDW76GPN5Z3E2VV4EWR3COENC4IYDRQGPNGDM2ZOC5UYYSAQ,BSGHYPMWL6R2D2RPJ3ECIZPTJ3B3ORWPQV6BZHQ7KJOODBH4N3QQ,
33,0,336,3000000,0,250,0,0,0,1,1,K7IVDUZXREFZVI3B2FOZSTFT6MYYHOGYYS3J7N47DGDIYWIE5K7A,WPM74PP23IXAAZIJV2ZZIVONTUFOMEXMEHOOHWTXT3XWDMYKEZ5Q,
34,0,258,3000000,0,250,0,0,0,1,1,KLAVY5FUUWLKMUPDKGIN5X44KAMD7XEZMIPN2ZYODJGF3RXBWNPA,MBO7U2ALDIQ2ID4USCZ3HCJNNH6TRH4ENHET26Q4N7DNUWNXQJBQ,
35,0,211,3000000,0,250,0,0,0,1,1,FATKHH7HLMBQVJIY5BRZU3EXGDLQIZBJJIVZIP24TKGQPU5J5OGQ,75XO7QNVPUHCKPLGGJGQAGASYVS7EANPHUS25DF5JHZQ4WAJCGEQ,
36,0,183,3000000,0,250,0,0,0,1,1,PKDFJYDT7M6AQ3HQWIAEFLQQMJZ42HJAU7MLN74J54XKMT4ITTFQ,CO4S5UVDQIQVRABSPTU5A4HGASSSMQ54E2JSKZCWMLF63OWMINEA,
37,0,166,3000000,0,250,0,0,0,1,1,DQCVRMQRJMJJJ4PMZVIDT6PLL3X3V7UV5HWEYGPAM4B6D2BMLCMA,EQ7FUXUVEUKWI4DPP3AQGYUNKJPSMYZMHZXTB3OPOXATPPP6EJ4Q,
38,172,165,2912499,165,250,165,165,165,1,0,4Z5JPWCIVIYBB3I7C4O4QR5KSYTK5BYOUEUYZQ423NRORQHPNXHA,,"TransactionPool.Remember: transaction 5VLNRX3CJ6JCTPBM3BSQSB3UX3TFNJZ6F43KIRBJHBGUH3YFO5OA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
39,353,145,1733142,145,250,145,145,145,1,0,JLFSFA2TRBZTKJAN3D3SA7OJVTFUXAZHKGX5ADHPXNW2RZOBW7BQ,,"TransactionPool.Remember: transaction L4YZAQE4VYWGJV5JMITZWORJ5V3ZFUDYJ75H7LOA5T34QWSAPDBQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
40,653,142,1317532,142,250,142,142,142,1,0,KFE6QMEYAO7OKC4XBZD63RDRZN4XVYM2V3A7IZROH6SI5BJT5OVA,,"TransactionPool.Remember: transaction KY5VMBOYQSDAXDS726TOE557A2WVPZKUIIYJHGUOQIB33Q4WZNEA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
41,890,127,1156796,127,250,127,127,127,1,0,VH2OH2EE6V4RFKBN5KBYNE7YGK5YD44RGQ4R4ER46TZ22VJMWD2Q,,"TransactionPool.Remember: transaction SPABCGEE34DTY7X3725XVBEDRR3H65B2TTG4NPSXCXJPVJVUNHQA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
42,1240,144,1099677,144,250,144,144,144,1,0,Q2IEYFCT24RGYBT4ZVGCTC2N4IDBKPHKHTCMOKWEJJZJP5WEGSRA,,"TransactionPool.Remember: transaction 2BW6QG6MC3R3MYC74C3UIKVXEPJPHGXNKA2LOOHRAO5A446JIF3Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
43,1414,140,1062869,140,250,140,140,140,1,0,SZCHVN5N6RISOD3X5B5MRAOE5FRQBV4YLCGYZAS2XB4U6WB2WKAA,,"TransactionPool.Remember: transaction JIEC2Q7HOXSKAHW2DL7AUA376U546XAJWFP4ZGCYB2OWBVBZPGEA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
44,1565,162,1072555,162,250,162,162,162,1,0,FJJHJFGVUWP4F4EXJE7JFYNJJQJHGVX6YYRK7ASW7Z465LIRDMDA,,"TransactionPool.Remember: transaction RHBT5KO2USE3ADWH4UCAFMSJKVWAQFPKHBFCLZFOTTTMHYAETZNA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
45,1573,152,1057754,152,250,152,152,152,1,0,32BCOSOFAEXBTD5NUDDLJUIWKZQCX5J2HULWEYXSSQ3YDXGS623A,,"TransactionPool.Remember: transaction ZL4HKJEU57UV34UXSCETSZ4EGLUKU54NU7NH7KMABAJBDVBFJWAA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
46,1611,126,1018155,126,250,126,126,126,1,0,O3IIPF3LJ5BB5WKY64DYCYYGCBGK4AM5NEK5PERNVGQFWTL2ZVAQ,,"TransactionPool.Remember: transaction NOZ2CL5OJ4FBGRCXE7ZVDVUE4JLNAYLN5IP36LAG5ALXFRZ7U2AQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
47,1620,132,1025184,132,250,132,132,132,1,0,PD2A6RTENLKS3OTC7NYQIODT4YDICWYZ7LBH4KOB5G7ANDFJZEIQ,,"TransactionPool.Remember: transaction WKNINJJU3SQVVEWJVIV3WWQUPFESMMPHM7NKEDSXZHC6KQJSFOPA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
48,1622,145,1042199,145,250,145,145,145,1,0,JLXWSWZP7KHYVVF7ENLTZROVCDTAA4LBPLY5FGWSOSTIM7WU66WQ,,"TransactionPool.Remember: transaction VHIEAQLFSLGK3FKTLCAHUP4F5TBU6M54JYVSSSKD4TJ2O65SBK2A: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
49,1630,149,1046533,149,250,149,149,149,1,0,53CKUQEGAIYKQLRUY3I4MVFENCTWL22IE2KBPLUKP4LBON3HPUNA,,"TransactionPool.Remember: transaction QTGWGCLLV2CGR457BSMAT6X553R6XAA2VHOSY6NTZTQDTYYFG5HQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
50,1621,153,1052929,153,250,153,153,153,1,0,U37QGF776LOXCVF7FANV3PNOBKOQLMVUXEBU6FNHBLFRKCGDPCDQ,,"TransactionPool.Remember: transaction S6MMPCP7NTLIOTQSO3VRYGAUHYA5HNEEHQRIVKPI6KCJAC2QXBPA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
51,1591,138,1036484,138,250,138,138,138,1,0,6PGP3LENRNR3NOWJOATESMRSIBL5C4WKC2LSGO6UUCYSCFRWGBFQ,,"TransactionPool.Remember: transaction FK4BIZS2D6AIROSTNF674BCQVU76OQWHZHTNV2R2F73KNDOFPICA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
52,1576,130,1027347,130,250,130,130,130,1,0,HY4J3VCGREEJ3DBOCQ765FDBYBI44QBIXOV2ZCV7MAD57HFHPD3Q,,"TransactionPool.Remember: transaction KZKHOHBTYZIGXC57ML4OQWVYAVA4XMPRY37VV3VA2COXO6MUWLDQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
53,1536,146,1054361,146,250,146,146,146,1,0,TRITREKLM26Z24752V6Q2MB2BNRCLP23G6QWLAOLJIPMGMP43Z7A,,"TransactionPool.Remember: transaction 2ZF6OTZDGC2BDUIBCO7FGYCGUN6JO2I5A6CB6JYFZLXZ2L52OPNA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
54,1470,143,1059147,143,250,143,143,143,1,0,AKPO57NZZE6HLOGILVIIW3LNDEYRLVGLFFPTQ3EGMYK57B4QKS6Q,,"TransactionPool.Remember: transaction V2L3ZSI5CTMAZ6ENVQ4E5QORU72INS6PHV3FPVYWVAZKUSJBQPPQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
55,1423,131,1047926,131,250,131,131,131,1,0,FMWZBHQETBHLADBCZHCJYDRPRRSZ3OP7QXMRF5KUNWF5F4WFXJVQ,,"TransactionPool.Remember: transaction SCLU45M5GGYMCI67K7WK3YS2KXPS556VNNUTXRGVGH3XDZHNHASQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
56,1376,133,1057810,133,250,133,133,133,1,0,NYTACKMYD2SMOGB64PJV37OQRRUVR7HIHNDISXFVMRQD6JSVUXUQ,,"TransactionPool.Remember: transaction UUPMMI6U6XR4YD3W27TIAMHUDAPLP3U5MPMVSA6JET7TFORAVWYA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
57,1304,130,1064339,130,250,130,130,130,1,0,BUQAZHB43QDI6BE52DUCOEKMWP66GE6MXHYXZ5Q5HK7IGGCEDVAA,,"TransactionPool.Remember: transaction YTJGJE5CXYEDUAOCZJB2D3R625O5HITO7EDCFJ76MXRGPA2BZPBA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
58,1260,140,1088888,140,250,140,140,140,1,0,ROFMNGUQQR3XN4ROJGX7MRLEGI4P3M73N2VNWFIWMPDJBAWAZKGQ,,"TransactionPool.Remember: transaction 2DA4OHYNGCOYTECL2ZV6A3SHUI6JIBNUS6VOONHO2OXTO2JN7U7A: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
59,1196,132,1087289,132,250,132,132,132,1,0,JFWEVSAENP73CXES7BMC7SGIOSCI3ETYKH62YLFPNYF6WCD4VZMQ,,"TransactionPool.Remember: transaction CEXNNPKXWLME4KV5DZB6KI7ENY3SNRGFMGR7OJB5NJKRFYM47OZA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
60,1116,164,1165948,164,250,164,164,164,1,0,QRSJE6INUTV2KCT7DMF4TEOM7KWGF3WOJNYU5GI2KO64FLBOCGYQ,,"TransactionPool.Remember: transaction H2QYJNLL2SGSR3QX7VNLQ5CDAGXNYRCXPYRRAXMEJYZEMD37JNOA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
61,987,160,1198530,160,250,160,160,160,1,0,FRAXNQUCU5O7ZE4YK76G6ZTMXYTB7W6WSYDR5NNQFVL5HLMV54WQ,,"TransactionPool.Remember: transaction MZR57COS5PQXS7R2H3PB6EOTMKIPCYMCQFOIXPE4VF6FCROYKKNQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
62,896,174,1267521,174,250,174,174,174,1,0,YOFGLP43TUHLXH2KS34XIV3H2JJQ2KCH6LQI7GO24IBEUVHK7GCA,,"TransactionPool.Remember: transaction MURLZBYKLNJL7KFT65XDBR74ECOOS3VBAXSO3TPKSQB6SIXQVQSQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
63,759,193,1396704,193,250,193,193,193,1,0,ODAWJZ65CEPBHOYPLM3GGALWUOIUUVD7AZFNCWJMYATEMV3X57PQ,,"TransactionPool.Remember: transaction 2AVIJZF7LABE7ZMZHTSE6XSCD2YDGSV7LSTEBVPVFDCYW5RRTARQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
64,635,232,1635511,232,250,232,232,232,1,0,6XZMZXOEWSVK5IFPX6B5HAVJX6NZIBRV4AGPZE3HBGTRF4X7E4WQ,,"TransactionPool.Remember: transaction SOMBRENAYJ2T5U4NMKIDKM3JP4MRM5RP46MRV6MERK6QGQSXRRDA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
65,506,257,1941995,250,250,257,257,250,1,0,CH65WKIDMTHT6DKZAMHMN6NXRHTOJNC4OVP4NY5QZEORCH5O36GQ,,"TransactionPool.Remember: transaction 3EP76HRYPCAVXNOK4M3KMZ3HLWFQPJ52INZVKLZL5OS7V4M5M2IQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
66,356,309,2716150,250,250,309,309,250,1,0,JKKLUMDAWKP7C23PWVTNPIOQBV52NEESSHFXQ3AFFEKYWYZ2WUFA,,"TransactionPool.Remember: transaction BYDUEESGG7NOZJYV7CNZT25GY2HL4ITBEFLPKKWNTUSTGQBHHFKQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
67,191,352,3000000,191,250,191,191,191,1,0,GI4LFIS2FJDHBHDMMKFDU4IYYVJ3LBOY77IWD64CKG2K22ZDFNUQ,,"TransactionPool.Remember: transaction GQJEKOL32OUBJSRTO6SROIKCFFEQDVWQDDGUCGNUZK4C6HHKGTCQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
68,68,429,3000000,68,250,68,68,68,1,0,6ID2GQATEZY2C2AXGE3JNCVMSVG7RETPTGUG7TONRW2LAQFG5OPQ,,"TransactionPool.Remember: transaction 7WUUY63SYUNLP5FU4FRM4AC5R75VRU7PSWADRDFDSEVPIDIZ74FA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
