addr,p2p_benefit_zar,utility_cost_zar_est,net_outcome_zar_est,demand_kwh_est,p2p_recv_kwh,grid_import_kwh_est
YJ63FV6L3KCBKROTXFFSAS7JMKU4KSV425OKDNKEUM6NGTO67N2JADFWUE,36.27415837,0.0,36.27415837,0.0,0.0,0.0
BOJQS7QV4H25LHXC7OO6F3ZWCQLF7KJCMLQDQV6PEO66YLUOWY4GDFAN3I,3.4788303000000003,0.22759162303664937,3.251238676963351,2.36586387434555,2.29,0.0758638743455498
GHJUTLG2UR6OFTJLZABZQ3P3JWHP6CZGQ5MGJSTG3BZU2MLN3VCMPOHOYY,10.81992304,0.0,10.81992304,0.0,0.0,0.0
MJMZZ5PWLPTLGHOFNNDPDW7Y4H6DYKM6CLTDSYFITRENOOHEHNCDJGMZTI,8.44544672,0.0,8.44544672,0.0,0.0,0.0
IHBASPBZHPT3UDOK62WG5G2UWTOHRKMP5S43DTFOLKXPZKWADONVZCJZH4,5.49837344,1.6534370187865721,3.844936421213428,4.181145672928857,3.63,0.5511456729288574
TEQ7VD5224ZN3EF4CB3O3LQKQX5LIUA34UCEJQSEFPVSCNFHDTT5AMIS3U,2.62059513,0.0,2.62059513,0.0,0.0,0.0
CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,2.63913158,0.0,2.63913158,0.0,0.0,0.0
DOAO2K7EKVOVKQ3YOEK42AZOHEDMZOXZDHODLY6ZC7UCXA45A2P4BLEH7M,1.03047004,0.0,1.03047004,0.0,0.0,0.0
EYHBUXR5WOSB2FDT2UABTV3AUWWEZ2UCLNXSFEBUZDFP7OBQLK246ZHYF4,0.6833708,0.0,0.6833708,0.0,0.0,0.0
H6LO6BTMDTHMPXPXVQBAUGSNZOYYUAFUXRILCERLQKPLLYEYYOF75NX6MY,3.71582011,0.17701570680628265,3.5388044031937174,2.4290052356020944,2.37,0.05900523560209422
LDDCOBDKFFB6ZJC4B7X63E3LKMNQDZQPH23WE4RVWNKQHYINJPK76PHGNY,5.92293954,4.3160594394826015,1.6068801005173983,5.338686479827534,3.9,1.4386864798275338
G2TIMD2NRXOC4QTNUCFMN67IS2O3LVBDRMCG5QCT2YU6Y65PFAIAV4TK6U,2.2751850499999997,0.0,2.2751850499999997,0.0,0.0,0.0
3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,6.31907626,1.2767947336002465,5.042281526399753,4.495598244533416,4.07,0.4255982445334155
NWP3WWLTQZ3YTBZWUFO2EGB4Y5BRI5E5IRD4ITJMFNBXQSGQDGJ2OKGHIQ,0.7974224999999999,0.0,0.7974224999999999,0.0,0.0,0.0
ORGRTTOHWS6FIGVTDIQIYWA6JD7FCLZHXWRGFNDL5HQ5DZVUKUFUC2GVW4,6.129311670000001,4.37417231290422,1.7551393570957812,5.51805743763474,4.0600000000000005,1.4580574376347397
GQJ3IAAXUPNJ6ROBA2JQ72F3S2AGYCMURC5JZEI5CNXFISTOLPEJHGN3B4,1.6933604999999998,0.0,1.6933604999999998,0.0,0.0,0.0
XCH3Q7QFM72YZIAXMY5OT4265Q4LONZ756UZCUHL5S4ZIX7NILDHWC7ZHU,0.981876,0.0,0.981876,0.0,0.0,0.0
GWEQXNXLSQCB6AWLXCU54BNSCTWK3UK574CLEWBFQUT65HCLO5DMT6YEGQ,5.801770820000001,1.2843316907914994,4.517439129208501,4.1381105635971664,3.71,0.4281105635971665
YBKDXSGKLFNDU2RYZY73L4NAMTUPQBVFGZVBJKAXAI7JVUSSNWKISKMXFI,1.68680849,0.0,1.68680849,0.0,0.0,0.0
OSM4FVXIZ7QCJOUN53IO5JLFINVISJGVXP2SK674HMG6MVFSWWOBRJXJWQ,0.8274225,0.0,0.8274225,0.0,0.0,0.0
ZOHS42RCMLIYQTJ4QVTD5VAFWDRZAHRET2ZAAEXMN6EPXMKDBBJEOUICKE,5.73502931,4.533437018786573,1.2015922912134265,5.311145672928858,3.8000000000000003,1.511145672928858
ZUWWQX74E43WTEEQMGQECIMOKQAJSSQYK2GCGKKCPIBBC2R3UHDVPQFOIU,3.81172112,0.2781675392670161,3.533553580732984,2.5427225130890054,2.45,0.09272251308900537
RSPV6P6XJMIZUF4K26B5GSIRCC33K5Z23RNVTM4FVJNHEKIHQK63AN7GJQ,6.333213450000001,4.584012935016939,1.7492005149830616,5.668004311672313,4.14,1.528004311672313
HYJNPKD5XXIW6HOVGVWBLKYQB5GQKQALZRJHNPESDZ5SQIEDJAEJU27TOU,0.12,0.0,0.12,0.0,0.0,0.0
67ZYIG2F7HC2YGI6MGQ2DBKWQRFQHFDQGXRMLOY5FVI2RYPWG4B5PNNI7I,4.313218,0.730673698798891,3.582544301201109,3.0735578995996304,2.83,0.24355789959963034
JZG57OVKRVEJSFTJLM5IY5JZJCJLGX64TXQCVQLBLPR3ZWXAARNUKFE244,6.33550561,5.003694179242379,1.3318114307576217,5.887898059747459,4.22,1.6678980597474595
RJ7UTWVITJTT6EAJ2V55YTMFCC6UFZCMDAXEO5TGWZJ43XAGSTWDTEUIAA,3.77438586,0.8646504465660615,2.9097354134339386,2.7082168155220208,2.42,0.2882168155220205
MKEDDM3XHF3AW2AEQ27B3DWTXLHICSZVLVQNKGRT43HD5UXSAYFOXYGNLY,0.27,0.0,0.27,0.0,0.0,0.0
TYEM5GOH5TO7IKBUMY2RIHTYON3ZECACQ7GUWX3YSWIVVBMYPYPMWZQDLA,2.8033008600000002,0.12643979057591595,2.6768610694240844,1.8121465968586388,1.77,0.04214659685863865
DJICF76S3ZL4WE6Y5SP5BHIU7TZLNQESF6DFTVOTGONWL6IFZQHJ4QUAVE,4.60233293,0.6295218663381577,3.9728110636618426,3.1298406221127193,2.92,0.2098406221127192
