addr,p2p_benefit_zar,utility_cost_zar_est,net_outcome_zar_est,demand_kwh_est,p2p_recv_kwh,grid_import_kwh_est
YJ63FV6L3KCBKROTXFFSAS7JMKU4KSV425OKDNKEUM6NGTO67N2JADFWUE,29.23715984,0.0,29.23715984,0.0,0.0,0.0
BOJQS7QV4H25LHXC7OO6F3ZWCQLF7KJCMLQDQV6PEO66YLUOWY4GDFAN3I,2.8330077,1.6675916230366497,1.1654160769633504,2.36586387434555,1.81,0.5558638743455498
GHJUTLG2UR6OFTJLZABZQ3P3JWHP6CZGQ5MGJSTG3BZU2MLN3VCMPOHOYY,8.13068764,0.0,8.13068764,0.0,0.0,0.0
MJMZZ5PWLPTLGHOFNNDPDW7Y4H6DYKM6CLTDSYFITRENOOHEHNCDJGMZTI,5.56517116,0.0,5.56517116,0.0,0.0,0.0
IHBASPBZHPT3UDOK62WG5G2UWTOHRKMP5S43DTFOLKXPZKWADONVZCJZH4,4.4253441,4.173437018786572,0.2519070812134281,4.181145672928857,2.79,1.3911456729288574
TEQ7VD5224ZN3EF4CB3O3LQKQX5LIUA34UCEJQSEFPVSCNFHDTT5AMIS3U,1.6702630399999998,0.0,1.6702630399999998,0.0,0.0,0.0
CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,1.60675862,0.0,1.60675862,0.0,0.0,0.0
DOAO2K7EKVOVKQ3YOEK42AZOHEDMZOXZDHODLY6ZC7UCXA45A2P4BLEH7M,0.5414297499999999,0.0,0.5414297499999999,0.0,0.0,0.0
EYHBUXR5WOSB2FDT2UABTV3AUWWEZ2UCLNXSFEBUZDFP7OBQLK246ZHYF4,0.2718793,0.0,0.2718793,0.0,0.0,0.0
H6LO6BTMDTHMPXPXVQBAUGSNZOYYUAFUXRILCERLQKPLLYEYYOF75NX6MY,3.09959284,1.5870157068062827,1.5125771331937174,2.4290052356020944,1.9000000000000001,0.5290052356020942
LDDCOBDKFFB6ZJC4B7X63E3LKMNQDZQPH23WE4RVWNKQHYINJPK76PHGNY,4.792000900000001,7.046059439482602,-2.2540585394826014,5.338686479827534,2.99,2.348686479827534
G2TIMD2NRXOC4QTNUCFMN67IS2O3LVBDRMCG5QCT2YU6Y65PFAIAV4TK6U,1.3043987499999998,0.0,1.3043987499999998,0.0,0.0,0.0
3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,4.99897558,4.336794733600247,0.6621808463997532,4.495598244533416,3.0500000000000003,1.4455982445334155
NWP3WWLTQZ3YTBZWUFO2EGB4Y5BRI5E5IRD4ITJMFNBXQSGQDGJ2OKGHIQ,0.39,0.0,0.39,0.0,0.0,0.0
ORGRTTOHWS6FIGVTDIQIYWA6JD7FCLZHXWRGFNDL5HQ5DZVUKUFUC2GVW4,4.877461390000001,7.40417231290422,-2.5267109229042193,5.51805743763474,3.0500000000000003,2.46805743763474
GQJ3IAAXUPNJ6ROBA2JQ72F3S2AGYCMURC5JZEI5CNXFISTOLPEJHGN3B4,1.021615,0.0,1.021615,0.0,0.0,0.0
XCH3Q7QFM72YZIAXMY5OT4265Q4LONZ756UZCUHL5S4ZIX7NILDHWC7ZHU,0.5201304999999999,0.0,0.5201304999999999,0.0,0.0,0.0
GWEQXNXLSQCB6AWLXCU54BNSCTWK3UK574CLEWBFQUT65HCLO5DMT6YEGQ,4.53810045,3.984331690791499,0.5537687592085008,4.1381105635971664,2.81,1.3281105635971664
YBKDXSGKLFNDU2RYZY73L4NAMTUPQBVFGZVBJKAXAI7JVUSSNWKISKMXFI,0.80790149,0.0,0.80790149,0.0,0.0,0.0
OSM4FVXIZ7QCJOUN53IO5JLFINVISJGVXP2SK674HMG6MVFSWWOBRJXJWQ,0.09,0.0,0.09,0.0,0.0,0.0
ZOHS42RCMLIYQTJ4QVTD5VAFWDRZAHRET2ZAAEXMN6EPXMKDBBJEOUICKE,4.51402224,7.353437018786574,-2.8394147787865736,5.311145672928858,2.86,2.451145672928858
ZUWWQX74E43WTEEQMGQECIMOKQAJSSQYK2GCGKKCPIBBC2R3UHDVPQFOIU,3.1649399700000003,1.8381675392670163,1.326772430732984,2.5427225130890054,1.93,0.6127225130890054
RSPV6P6XJMIZUF4K26B5GSIRCC33K5Z23RNVTM4FVJNHEKIHQK63AN7GJQ,4.86506003,8.00401293501694,-3.1389529050169394,5.668004311672313,3.0,2.668004311672313
HYJNPKD5XXIW6HOVGVWBLKYQB5GQKQALZRJHNPESDZ5SQIEDJAEJU27TOU,0.0,0.0,0.0,0.0,0.0,0.0
67ZYIG2F7HC2YGI6MGQ2DBKWQRFQHFDQGXRMLOY5FVI2RYPWG4B5PNNI7I,3.3877281200000002,2.8906736987988912,0.497054421201109,3.0735578995996304,2.11,0.9635578995996303
JZG57OVKRVEJSFTJLM5IY5JZJCJLGX64TXQCVQLBLPR3ZWXAARNUKFE244,4.72008584,8.693694179242378,-3.9736083392423778,5.887898059747459,2.99,2.8978980597474595
RJ7UTWVITJTT6EAJ2V55YTMFCC6UFZCMDAXEO5TGWZJ43XAGSTWDTEUIAA,3.0332467600000004,2.5446504465660618,0.4885963134339386,2.7082168155220208,1.86,0.8482168155220206
MKEDDM3XHF3AW2AEQ27B3DWTXLHICSZVLVQNKGRT43HD5UXSAYFOXYGNLY,0.03,0.0,0.03,0.0,0.0,0.0
TYEM5GOH5TO7IKBUMY2RIHTYON3ZECACQ7GUWX3YSWIVVBMYPYPMWZQDLA,2.25493142,1.296439790575916,0.9584916294240842,1.8121465968586388,1.3800000000000001,0.43214659685863865
DJICF76S3ZL4WE6Y5SP5BHIU7TZLNQESF6DFTVOTGONWL6IFZQHJ4QUAVE,3.73810757,2.5495218663381576,1.1885857036618424,3.1298406221127193,2.2800000000000002,0.8498406221127192
