interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,125,0,0,0,1,1,7L5MQ664N4B5UQ24VTAEG5BZKIOHFFCUDMRK3VJ77ISBPWK6JBGQ,GNLABOOJNQXYNBQOKWCZNN6XM35XWLOGFN36323DCAWY6S3A3WPQ,
1,0,74,3000000,0,125,0,0,0,1,1,IEHLINWWB2JMAY2Z4URHH5USBS74K4B6D72M3RZA7WVRR6YSU55Q,SCWA5TSVFWKUSBLHM42OD7OV52WWO2CISVRMP6G57ST2DYIECZHQ,
2,0,56,3000000,0,125,0,0,0,1,1,WKWVTND2N3QXUPUDK3VJFMFUGHO7UDBPIBA5JFHKXPLKGJJ226LA,F4AB36DKJCK3P6XND2C4IZZHKOABSVR6MTWETMGTJ3U4YGPRP2OA,
3,0,43,3000000,0,125,0,0,0,1,1,LEAFES24L4VZVMSWUD3KT6K3KCEQDJPOB3TZFAZBYBLHV4AUCRCQ,UX5YIYTY7IL54LMHKBO2HRAJDGL4OF2E4TPCVHL5PE4YY5EZ3ZNA,
4,0,66,3000000,0,125,0,0,0,1,1,XDTIRSWS3JCM4U32OPISWQYTYSZVLOSWJ2F6AJESTYMORT7GXR5Q,FFTP3XMAAGLZJGJMGDW4QKYGM2KVGMIOKD7LONKJG3UXDZ4FRK3A,
5,0,76,3000000,0,125,0,0,0,1,1,7QBVJKXWKCUG6TY4PAHSL2AACGYARS62HGM2MHOFDWRAR5PZEVNA,DROVNOQ4PFORSC2LNDYXZA3UYI3NDOAX3M5FQHY3FPOLBKEPQ4TA,
6,0,58,3000000,0,125,0,0,0,1,1,4EJGVRCCPOXEADJ6A4CY64U3PMCO4EXGVUHYR3JKIOKO5E6ORQ5Q,KHCZN4MVDGQ72VZDWY3S3F2PRSH7672DKABOLALCMCG2FFVVY7HQ,
7,0,80,3000000,0,125,0,0,0,1,1,IPZYKUPB53JEPSYEZI4TSHMD475O543KRHYC4BJTCVHLEOQJXWZQ,NJXRZSY7SI3FF6XXABJX3U2DRA6GHYNGIPL6PAY55MK2BUSESZLA,
8,0,57,3000000,0,125,0,0,0,1,1,WHH6Z3N2YQVQKKGLTRXDIPPEDNZF7HQZNIHBYRIAP2XQVSIURI5Q,DKD4MU7XPZYYLGLF7XDFHK4AIUFXVOCAHN6ZTHBWSZTTEEUNQXTQ,
9,0,63,3000000,0,125,0,0,0,1,1,KWH7QTFKZH73C5SXSZWKDEEAHHJW6VTY6PIB6GNYJD6P3SAQNJ3Q,VTQ32H6HTO6CASEGMDTU44BKRBQL3IT3LH2I7TLZL3N3ZPEKBEVA,
