interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,1250,0,0,0,1,1,VIMVJ37LJVKVXAUQJ3JW52OEXDSD5RCUU3OF26UVK4VCZDQ3ZZEA,OCP5Y3AE3CMPDT34P4LVMTOGN7WENRRATXW4ODULNRRPLZ4VN64A,
1,0,74,3000000,0,1250,0,0,0,1,1,Q7XEDF5NEUVZ3RQ67P2EBOQMJQIPEMC4J32YPZA4JHDH4PQDYD7A,ON4HYO7OGQYEOA42EL44OURLQKVW7KOJVAUF3JEWEGUAQTAI7DMA,
2,0,56,3000000,0,1250,0,0,0,1,1,NBCZ2HIP5NIDZCRNEW3K2BAQKDBGUAUPISFSWRKKY6T4FGA3HJBA,O6UKEA2MSOJ7XDHKCJUGJDTCIFX4GLHXLO32IIRLEB6FW67YOOOA,
3,0,43,3000000,0,1250,0,0,0,1,1,HQX7Y6ZDUIJ5LALZBQYR345VLFVZESTRYLQSWBTC2E5H42Z654FQ,VEZC5ITWU6WV55AAIK7FUXM4FGFUUT6RCFXWVQL2EU3HGAZGB7EA,
4,0,66,3000000,0,1250,0,0,0,1,1,ACX636LAZKD3KHJNYNTHRTSNGAZG6RWEUW7IEPJDUXAOVNNOAZOA,VMBJ4QQAS2T7UR7WFRIX65B4JTGPPUHANTKGZQIJVKXDZWOJKRRQ,
5,0,76,3000000,0,1250,0,0,0,1,1,GPWRQMWCGQ4RY4ZSLH3DNUAZEXAPXIGUL2ICLQUV4QXAHHH2FOGA,NQLP4L73ZNVYFQDG26RERYUCBYX6VLZ6KBAX2JCSJ62ZPTMCSSPQ,
6,0,58,3000000,0,1250,0,0,0,1,1,3X2PBWNVMOLH6ZKGOLEYOMT5RBBN5ZEB3WPTZWUMSUC7ZBEKHKQA,XJYQNHIAPPV6MEPZY2QB3O4FVIOUEYN5RULM52CM6AWC3TQWTPVA,
7,0,80,3000000,0,1250,0,0,0,1,1,6DCGZ65QJMRGQGW27SM4GEVXG5G2F735RCV4HBEZY6IYQTFHZ5WA,FCKDFT4MZGNUM2NBUYQTCNPOJ7TSTHKF4GIVPG2B7OX3XKJ2NZGQ,
8,0,57,3000000,0,1250,0,0,0,1,1,LM6SZ6PDIQVYZXSSQPFOQWNH3KZ3VEVRTWZYTMN4KGBIBDLYTF4A,63O6XGYXK3VMLIWZCSNVQSELNMDCR5IQFJ5P2KMNB6KB6JSNXC6A,
9,0,63,3000000,0,1250,0,0,0,1,1,DLXCH5H3FQIHJ6U2JANHWWUDQ6DZ7GH2DSXMTDVM3TWII4IK2E7Q,Y6TLP6AQVHQWP6Y2HDATSNWRMEYH74WKAFZLEBURW3D55LHP7KRA,
10,0,73,3000000,0,1250,0,0,0,1,1,JURNRLMXVIO2JFER3RTGG5CG3CVVBRW3Y2X7X7WAZLBAAVUT2LPA,UM4IOC2O5QMA23SBGNMYUSDKLPLKOQXPO2X2BHCHGX2O43ZOOKLQ,
11,0,69,3000000,0,1250,0,0,0,1,1,IN6FKQCKNJPH62UG6M4OFMYQ57374UECFGFR2I76F74XJ5M4OTZQ,L4AQ64SUJRBRFJJRG2HVX2L3HSXVSMB4ZEUPNJTUJ4NYFCVDRVQQ,
12,0,82,3000000,0,1250,0,0,0,1,1,N24PPJKOIS4FYOQMIMWH4RBRERAZPOOIBJCMRMDN2DRUCR75I7CA,3GPJ7FNDIHJ42IND2U3K6B422BCMJDWM3PI4VXFXPOWJ6TUDDWFQ,
13,0,80,3000000,0,1250,0,0,0,1,1,QHNGR4JHGJQQHODR7GWNB2Z5SBLM5WSGLLUOZERA6D3PMYN57Y4Q,2NXOBHQZR4LVK4EXB4DFBNNR5T7FRESYUBT42SMAFGWI7TBZYODA,
14,0,71,3000000,0,1250,0,0,0,1,1,SPU3TP7K2NSW5ZLYN4R3ORYTCB74Q747OPK4DA335TI3THDEYYKA,TCSUJ5XVUX5VAZHUQQTDLUW3NABDATMVM75PNC3R6GGNVUY5PBNA,
15,0,90,3000000,0,1250,0,0,0,1,1,XMDLQHXABWMJPIOPZVOTJ7DFHJS4UXZSI3IQ5P5KXQR572BVPXMQ,D5V4CGKOITBS3EVQ7QR7TZDSW5KQTY42HMUZS72HYN3ZKFVRKBVQ,
16,0,80,3000000,0,1250,0,0,0,1,1,L4UVJSE5RIKD36OAA2K47NH3AX47IVYNBSNWOCEWQXGGSXGMO4SQ,NT3FJ72T6TBN3OGHYRLTMQOPWXUUEKSTMYWNZ5T622G6F5362PDA,
17,0,101,3000000,0,1250,0,0,0,1,1,KFACMUADRLAAJFFVETFBXWNWBXXNMF56VBK74ZIYUQOOLKB7UWSA,EXTCVC6WYQVIM5AW4UXX2VJ37GRNII4AVOZEZEDB3FYKUUN5FUBQ,
18,0,93,3000000,0,1250,0,0,0,1,1,7FD2MUCFW364UMFGJ5U7FH2FWWZDROPZTNNVYAXB3C6I3DGQXKPA,H44DVAJDFAH2NB2C73Y7ZJNQL77EKXQG7OSAZHW6VJY7Q76HTX2A,
19,0,117,3000000,0,1250,0,0,0,1,1,XPNAFNWHSJIO7XUCCMAIV64YUS2JZN7XAMHJSZY6DGNXCLVZCWNQ,XMWZOQUN3WJY3WSQ5CAGV3MK2OMSAOIBPZEYPL5BFHDKKLNPA4MQ,
20,0,145,3000000,0,1250,0,0,0,1,1,6GKQIOGJ3ZLYRUZVNVIT2Y662TOQ6BX3H722E4ZSIKXOJSN2D4MQ,7W2OOQXI76YS26QTTHCR6WDLJHIM72U33T5VA4CM6VEZIGAMYHSA,
21,0,186,3000000,0,1250,0,0,0,1,1,YFY7OLPKLQT43PNRUJ3IJZT7XQ33WZ2M47LFGL23VZFARBXEMYTQ,XDHAK53HZLH3A5I3FMCXCWCFPZOBJFNZ4T7UHV3UF6IVGXWU7PJA,
22,0,233,3000000,0,1250,0,0,0,1,1,OPXBHCMTE7GKNWVEXAMVM4WWTK3MI6KTK72P3HHPR4W3BWV7EYBA,KVSPDTQHWSO3YOY6UB2LBJKJGAOBZ6PTHSZTC4M47VMPVMB7WY6Q,
23,0,294,3000000,0,1250,0,0,0,1,1,OPGG3QOQB5YPR5RCB2FR45JDOV2IFMGR76JIC7SCLVWG5WJO2ERA,X2R45PYVO3ID3DQRKNROS5QMNOQ3XRKJ24JZWRUGJDWO2L2YOZ6Q,
24,0,367,3000000,0,1250,0,0,0,1,1,2LM5IKZUTN4IUHMMVM65XJEK6H3GAO7OSA5PAKYGYQMO64PIZKJQ,G2DESGDH4JNNUF2LWIG3JJRMVMV7LJ2RKGDEAMIXRGDC34PKUXNQ,
25,0,427,3000000,0,1250,0,0,0,1,1,IN2LM6NQADNLG4VTGZ5NQRRIS4EDMA6FBNU4JXKUN5RVACGZO3SA,7PJ7JCVMNMVEXHBWORGYQYMKROGKUOI4JY3V6RKYT6N2P473ZN7Q,
26,0,507,3000000,0,1250,0,0,0,1,1,ZANYZISEGO6XNQU3I356NJZF2NUF4WJUSJUJQT3ARC42BXTX4BXQ,WV5M6J5PMYXCWUY535HEHUHVL3XITRQXDIHFCYMYVOP7MUX5OFGA,
27,0,513,3000000,0,1250,0,0,0,1,1,QQ5RIIQISQW3FWFZEYZNJVDQ7C4J2LLPRZYXZDTIVWYMD7PZCJ7Q,N6MDIZADOBBK3NDMUKNPN4YEF4Z3ZPFXYISZ6GVGZQSDSFXCRN2A,
28,0,542,3000000,0,1250,0,0,0,1,1,LS32WEIFLNNCFCE44Z44ZESKHCJS4C25OYMCPRQR5NGCZHQRDZMA,QCJHA2FDF6K5ZZW56LGIZFNUUU52YU5ZA6544CFYZWTDI2PVAN4Q,
29,0,551,3000000,0,1250,0,0,0,1,1,G5FBCN3AIEO37UCK6YONIBIKJEAKW7FXF33WN6P7CK3R6RFWNCKQ,XTEJD34RCKUMFTLA27MM5DZIJ6V3CD5AZZZ57VA46ZS26TXUC4MQ,
30,0,481,3000000,0,1250,0,0,0,1,1,EGBME2FIL64646J2TPWDNW7PFQQJ52B2QFSDE5GUCFP4MSCX7TJA,SDI6F6HMTE4UHBUWBCBYDTNT7AEK5HKI3LO3KA5XSDLE5O2DH4UA,
31,0,450,3000000,0,1250,0,0,0,1,1,34QYSAQ7B3XOCBWJK5NSFJMVSLBX2MAOKH6WOKCW7DMECZ3AK6UA,JSOXY5MVU5VYABE6MTCZ5LYLZ4ZK2APLLOOLZINEBPFAZLZ3IBFA,
32,0,375,3000000,0,1250,0,0,0,1,1,3N7TJ2TUF622OMTANW3GHUKQANJW3WFKKGXFRVO32PVGGNKXQI7A,EYYNLEJGKQVYUCGHR35EAOFKDXYY2T2YERBQQSP3PEV4XFXH6G4A,
33,0,336,3000000,0,1250,0,0,0,1,1,NUBARIXSTTCLPJSQUXKRRP336LVZ5QYP4VD74EXGQNSRF45OLKEQ,HOTFZ76OWPDPCVW6OJG7CVPVNOYJ27CSFCYX32LTSSW3T4FY56UA,
34,0,258,3000000,0,1250,0,0,0,1,1,XAXDHKYTZHRSR6OKRECDDATTILWKGVY54OLVT4K4RVFOZ6EQGK6Q,IYEMNF4NTJ5LS6INRYHQ4ECYI6FQW3WEOBM2DSHBLSYPGB6CJZQQ,
35,0,211,3000000,0,1250,0,0,0,1,1,QHF2ODVLOPTY534ZYAI54J6Y5CWYRHFCOW6FR5MTTI2RXV3EGSNA,2HJHG5QH6M6JBSDULMX5VIYPECOXX2IS57UTAJWKQH46IY33YN5Q,
36,0,183,3000000,0,1250,0,0,0,1,1,EAYURJROQGTDWNXOOUXFMO5LIIR3INRKPQHZXLEIOEKSTHLY3XKA,WRKQ74MXFIJ7MN63ON7BFO3MCY3JWVJXW6CAVWTDAQFOBMPAQXVA,
37,0,166,3000000,0,1250,0,0,0,1,1,ABY2KSQBRRW7OYZ5VPG2CQCFK4TX6WS2U3BV6FTHPYR44EF6FSWA,P23SVDXXO4HOVXPH7QRSIWENQO4QVAGFSD26WSTLRUTVVGKQT6XQ,
38,172,165,2912499,165,1250,165,165,165,1,0,ML6CFWDTIBEHP3CMQMPN37UZVXDFR3UN5OYHT4MPLTWM46CGVMIA,,"TransactionPool.Remember: transaction JQHRZ23EE4DFUJ47N4FXWD7GKB2H36ZZRSOXAQMJ6N76QEA5EPRA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
39,353,145,1733142,145,1250,145,145,145,1,0,PRK4T4OQY4ZRMRIOZW5QBJABOI5GLPEOM6PUXP2Q35QLFCJFTKWQ,,"TransactionPool.Remember: transaction Y2GKG6NWRFFETFC32XMFE3XYVVCRRZOKBQTBIQ24XRSSZ62WUIXA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
40,653,142,1317532,142,1250,142,142,142,1,0,DFINDVD6F4C4FZXFYPMK2KIHPHR63KWOBG3QLXQMNXWPZMC64HNQ,,"TransactionPool.Remember: transaction AMBIJ7QKCQ77VOMNA4SVFKFGBIHFR5CIQLAPOSGO3HXOJWIE7BLQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
41,890,127,1156796,127,1250,127,127,127,1,0,KMRTFJ6VCTYL5IN75X6YWAWZXYINF72NGSO5QZKE45DPFYCUQ5HQ,,"TransactionPool.Remember: transaction JGRNDZJMK3EBGKUQ3PACUCS6NHGZE2ASFXSK6Q7666QL2ATYBG7Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
42,1240,144,1099677,144,1250,144,144,144,1,0,SJ7MXSVLGRGQXHZNTAWOT33KD6652TKP5YXNZPMS476PHJ7JSRCA,,"TransactionPool.Remember: transaction YMEI7FNDWI6AJTRCIKLOKSXS6ELHLBYJOK72CEAVEIBONQEU4Z4Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
43,1414,140,1062869,140,1250,140,140,140,1,0,ARF6LAGKDDYM6PKXADB33XPYRZ6ZSXXF375UUN5QFIP7M5WISPAA,,"TransactionPool.Remember: transaction 5JMFIV7FZWASLQABOCLVSTJ27T52YJMYE7HAXVCPIHVZJG7FBQKA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
44,1565,162,1072555,162,1250,162,162,162,1,0,VHHUIVAVCCJD57TQBQ7PC4K5XLQOQXU6IQYLVXG2ND3NKTM5L34Q,,"TransactionPool.Remember: transaction 4ENW46SK3PDQWAUZHLOY4RV7MUDP6276Z7P7GYQYZAKTZIGZMRAA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
45,1573,152,1057754,152,1250,152,152,152,1,0,OK72XPRBUZAXP7PBKF3BTTFVNXMJZMOH7KOEYY7JBHGKCQPMMSNQ,,"TransactionPool.Remember: transaction JTWSSCKUYFSCGTKZGDPAQMHIQ2FOLO5IA4MBYAXA457N67UWOFMA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
46,1611,126,1018155,126,1250,126,126,126,1,0,UKDSUNN3DZFGPBREFLZUMHC6LZ23RGXUYX6C5HYDJZDP7M7IWXCA,,"TransactionPool.Remember: transaction LLJY7AJWQWZ7L3PGEG7L4M222B6ABVPT5GKGEPN4FJ636OHWCRAA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
47,1620,132,1025184,132,1250,132,132,132,1,0,HTPQKBKVLJCQASYMDLLFVASKWJQ3AMMO2KHD7CH3IYJU44CMWOGQ,,"TransactionPool.Remember: transaction ZOLCYCN4JSSDBC4E6FCNGV3H3ZCLDKWVI5DJJMWFNPTWPUHUBKQA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
48,1622,145,1042199,145,1250,145,145,145,1,0,FNOFYGYHFZL34DTU4CASDDWGJ5PJGS6P3GOBRJ443RR7T2WLX4AQ,,"TransactionPool.Remember: transaction YW66NHBQ7WNH6N75H5T34LQOVDTAOOUMJN25SUMYOKHLFTTE537A: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
