interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,125,0,0,0,1,1,VMWVKUVQCZ622BSA4X362N73PPB6PB7PSLRUVBELS2GBDATUV2OQ,BPUSBXKYBLUH6KHE3U3P2MYLDIK6PC2UWE3RSA3CTPQOTAU6YPAA,
1,0,74,3000000,0,125,0,0,0,1,1,KKPVPVK2N47TBQHFVJGWFPEWTKZMCJAHNDBWPFESMIHYI6U3T65Q,JMEXMY3D7M5GOOVFOHFW3IT5ROCQFRGQIWR5CWNLHRT6FPJZW3CA,
2,0,56,3000000,0,125,0,0,0,1,1,DCB7UTQDAFXKXGIZBFHFT5FDKVTPNAYBOZRVQTI4FMPZ75ZDORZQ,ZZUHEYNUNC4HY6WBWZURW2ZXP42RJSDGIRRTRMVAQG6IQTBDBPPA,
3,0,43,3000000,0,125,0,0,0,1,1,XZWS3FVSWJL2BOICHJDOR3UR2DIJXUDSD35PNYA2VVZ3SUPMLMIA,4YS3OIIOYQ4CZUMW7NEOH7CHX4KWJ7ZVPZY325SQSXNLMEPDGBGQ,
4,0,66,3000000,0,125,0,0,0,1,1,PFCE4GQGBDYFSCOZ3RHMXA2ARW6CHBDO3VHYFYQSPR7EZ2EGBPBA,6HMINVAER4OETXMVA5DPVFKAX6KK7OVGJCVUKV3OEK2FWJYO4CDA,
5,0,76,3000000,0,125,0,0,0,1,1,N3MT4C4NK2PUE5GX46K6ZRKOM6I3R5IWSNJG2EIGK5IQHTZII7BQ,QEQ7KL2LYJANXPBYB4QKE64T6G3XHBHGZ2APLRWOEVBBNA7ZPZ7Q,
6,0,58,3000000,0,125,0,0,0,1,1,7SGMMTSSFSORZ536HFMTQF7N4SS4JJUJNO6OQXGLN6MREPP5E7AA,HUVP5FKXSVUAPM252RLDLGK7Q7I3VQZMWB2ZYBLTB2H74VCAE2AQ,
7,0,80,3000000,0,125,0,0,0,1,1,VCS2J6UX3DNJ7MZAGXGW6C7QJ7SJ7DVWYBTW6TP2VR4GXQYCU2HA,Y5WTOYLDN3AHYP5F7TUFU6J67A6HEQK5DGUSYHKFIJ4FO5ZYAYHQ,
8,0,57,3000000,0,125,0,0,0,1,1,Z54ODKPPTPBY34BWHXNOW73D5PU746VATU3KSODX74LPWIKTIGXQ,VSKV2G4TVJIM2N6DAOGDZCMBUEUR5HPXQS72AUKAAVWSMZ7RJQPA,
9,0,63,3000000,0,125,0,0,0,1,1,XWMV4GXN4KSCA2OBFNJT7ZPF54K6O3SVKILG7LF52ZZ2TYJESQLQ,MBLO5LRP3Q74JYP6DGOUQGCT5VIWP6GOB6GYXAXOTFHY3VC3CN5A,
10,0,73,3000000,0,125,0,0,0,1,1,AAGKVS7IDXDHW2ZUED73THMY7JM2VGLXPA6OBW53EQP2WERVTKWQ,TBOFYO3PQJDZZBGWLWCQU3ZKPL2LIQ7AEZ4ZU42EWDC4IKVVGOCQ,
11,0,69,3000000,0,125,0,0,0,1,1,OYCWJJUTH6JWEJXKPXJA7CW77ANOJKIV2UG7D6JIKP2Z7SBYVIRQ,WIJSKWSRDAAOVXKVWWIBQOUWGTOSJJ5ZZZH37YALHURSIYSRBACA,
12,0,82,3000000,0,125,0,0,0,1,1,BA5IFSQFK7JDQ3UH2YFLFRV6JZRWJG5OGDZ5SZR67N6AM2XLFA4A,PHPWVX2QKZIQSFLLSMAQHLC7RAFXUNJVOCYQ2ZFMMRDCH6VTJ3BQ,
13,0,80,3000000,0,125,0,0,0,1,1,KZOIVZYMHOWOEAD4O6BZPSM3LD3NPK32A567ORA2YBIP2RWPOFUQ,HBENNUQFHJKSRD2QBNFUQ3TOHMZYU4BGWKY265YURNW5BMSTKMNA,
14,0,71,3000000,0,125,0,0,0,1,1,QP5GEPWIUDGTOMVFMPFZSERKVBFJESCZZVYYPY43ZXBBSHOGKYQA,QPKMZUZJHE6EJYOQW5FBBDMU5VPURHFJORZG65VH26RLXHWEP2GQ,
15,0,90,3000000,0,125,0,0,0,1,1,LQRAXRJGTVMIKEHLINSDJOG3DUZMTU4HDYWHLOQHKU5CNIRJSO7Q,3HVYLXM6BGN23BPEVS2MSEAUNUAC7RZPBNHG4YH75LNC6NJYPFBQ,
16,0,80,3000000,0,125,0,0,0,1,1,BSPF5PHVAIVNCJEWRWRTCIZEW66DYZUYYB63CFM3SQS32PDRGP4A,SGLKDHX5SZIQIIRDG2XO572OMI5BO2PKOEKEQLAJAIRBQWG7MK3Q,
17,0,101,3000000,0,125,0,0,0,1,1,QREEIZGVV2REZRTAT7TXZD7NNQL27WESFPIT6K2AAU4UMBZ2JTFQ,LNCKTI57Z3A3LEC2HYUJWZKDXLWVVZ5YAILIYSMJAHSB6CUYVQIQ,
18,0,93,3000000,0,125,0,0,0,1,1,3EYHV3AOZZW7AVRXCL5BFRG5JVVA7DX4I5INKTUP7ZFYQOPSUMLQ,HDURWXJXQ5Q3I65DH7U3H27UA3ZFJE4OKWN5CWVRU6USEPUPQTCA,
19,0,117,3000000,0,125,0,0,0,1,1,J3MNBK4N2RHZT2XS2IIOB67U6HFBYNCQKZ6NA7B6XMSWBFYQOEKQ,YK6IMEIK6FRNRG2FAPRWEYHXHRHFAX65X6JJAI2WB5YARLGZHT2A,
20,0,145,3000000,0,125,0,0,0,1,1,JUUUYGZBSSTZFJIK4LYTCQ7VIKJ6QQZU66FDFRBCQQQ52SEXUILA,AABBPT67AFK6VXWDS3HNOMSMJL7NOYUF35L6SUOOIYQ34KJ5HQZQ,
21,0,186,3000000,0,125,0,0,0,1,1,GDXYCSD3S5USHD2BUOXQEG5YFJEV7LWIASRDA22UGF4OWGIHFWQA,FZCC7XPMF45GGF2F22WPWB66AXRXKI32ER57K6ZZ3LUHLFEOQGBA,
22,0,233,3000000,0,125,0,0,0,1,1,5SHU7H73I2S7RY72MV775XPA467PZYX3ONNAQJGMYJ7TB6YILQ4A,YTOKMEI6TWQUQT7UM7TAHGLLEFGS5EKVMFDC3KNKZZJAR6HWG24Q,
23,0,294,3000000,0,125,0,0,0,1,1,G7SXKNXC2D2LGL37P7JZCMWDS5Y4M2HCY3PPBLQ4TJTIF26NB5FA,M2MW26MH73AQD7CTDPKTGPNGL7KRFGUZM2HZ2QY7WN5FQAVTRRLA,
24,0,367,3000000,0,125,0,0,0,1,1,MPS6IPSWPFHDDABEZGB45YTAD3JHBC4UFZJP2FJ3ZHN673NPCC6Q,BSKVANG4UBH4OXIBWXYF5EQ52YFKR3BH2HMAXPCZ74XKXM4KQXZQ,
25,0,427,3000000,0,125,0,0,0,1,1,C747IMJIG5FEXQLDT2ZFBYWC2JZWHN74S27S6SDR7VYNMUK5AZYQ,GTUOGEQHXF2CNLLLJ26YVGULWBQ2F7NWPJIHEPZHE57MOSBQ6QFQ,
26,0,507,3000000,0,125,0,0,0,1,1,22325QHOCLNNCZT442EIZQIIQ5QRTFCIEJVBBR6AEDNEFLZJR3OA,2OGQPNQONS3WZGJIS2U34UO3QORWHY63WY36XMPIFTAKYA3WEKIA,
27,0,513,3000000,0,125,0,0,0,1,1,2NXMA2ESRSGMK4EGJVF7KTQQYM6AIV5UI63VDYI24Y6P3PQJAGHA,QO3RYLPDJ6QGGV735E33MQWZCWWSZTYSSKDHO353RMQPJQ2KEWLA,
28,0,542,3000000,0,125,0,0,0,1,1,ZWCTQS2YIADGMJEPTJ5RYJGC2NE4FACA7TEBAISG77FF6FTBW4DA,TNF5MZOGLBRSZKICSGAGDWGHROISHVLTJ6AEOFB342IJOS42DFEQ,
29,0,551,3000000,0,125,0,0,0,1,1,X6EXE5IE5ELBHNKTEF4YRSKQZ3U7IIY7GZR3RRGDWAHLCNYXX3ZQ,MHXUQDI7MTXE6LNCLEFRBQR567LPMIXEWUHDYG24PYFXOQ35BD4A,
30,0,481,3000000,0,125,0,0,0,1,1,B2PXESVRA2HSJAJN2VIEECHXVKJ3FHLQUJ23P7CZMDSDJS7CHF3Q,V3MRGTPCFBMUCKT5E2L3732IROV6V4X5VEJGFD5K5HY42XASD2OA,
31,0,450,3000000,0,125,0,0,0,1,1,TTA4WVIGQAB5ZQFIE657F4EULWG6YNT2CKBJ22CPDEILUO2IFGHA,AGY26U5GUPNHRWZYJXZB3ZTAL3XOLZ25ZACKTS4TC7R3WUEISSTQ,
32,0,375,3000000,0,125,0,0,0,1,1,HCHJEULQRCUUO77POMMJYX6H4EJNPALN6QTPDWPUBNBLD253RWLQ,DCQS4WKSI26EUX6KJMBSB6CM2BSQOUWUOYBMZ4Q3MY2D4LGXT46A,
33,0,336,3000000,0,125,0,0,0,1,1,BJYRU4FBXZI2ATJ2IHBGSSXJLF7ONQR6PGOSJL3NYLIFUJEYIEMQ,IGIQU7YDBKH2XEXPW6T4UVBOEFCSTLB374KCUKFONBFP3AJCLH4Q,
34,0,258,3000000,0,125,0,0,0,1,1,JBNUGF4SKCMVOMYMX2QU3GL4U6AHUCBMZZ3GQYKXN6ZJSJSRHTMQ,Z2XKJTJH2HJKO6VX7RLJUCKO3Z7WZDSI6267SWSPQKM52EE6SITA,
35,0,211,3000000,0,125,0,0,0,1,1,WZK536LTMMRAHE7KG6QE65ODOGXJH52JDLDPYK446HMHBSXPVV6A,3ASCG5WLMDNGCW4IR6C3ZYDCVFD42KZDD66MD4RIXGQMOF46IQLA,
36,0,183,3000000,0,125,0,0,0,1,1,GK2DAQYH5J5M24VAYK72OZOPA2732XNRW2IIOTP7QG7VSAS5R2TA,RO5IEK3K35FJCWDA4VTEVVGLXVJRQ3PLZPYTM4FCDXSAIMBVOHNA,
37,0,166,3000000,0,125,0,0,0,1,1,XCKSDIBV4OFTC5G2JUQWIQBI7DDPYGETZUYSP5SUVYVUPOQBNMIQ,G7W62MDNQRKKOIZKFREKPNYIRU4MKRAJQCHK43VDRCFEVROSXQ5Q,
38,172,165,2912499,125,125,165,165,125,1,0,2RZQ3YBZ4MMRSYOZVNVHE6JP2TFNAUDIIWUAOOPSF7QMAWQKZZ3A,,"TransactionPool.Remember: transaction EC45SP2DWCPCBY6ORZDIORQIHMSCGA47M4ZYSHE63DZTJ6UNZ4XQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
39,353,145,1733142,125,125,145,145,125,1,0,GC6UNFX4WW4OYDSTRJZ2DYC4SC4N3IATFDMNBWQEHRQQQJHQOSIA,,"TransactionPool.Remember: transaction 7HW4Q6B73CIVGVBGMORR3AEEOKANZER2I2PYAZ6PNNL4HHK3T6OA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
40,653,142,1317532,125,125,142,142,125,1,0,PHTA5DDZEZCTRNLFFO4GNW3XWQZEKREZVUNWVOFH4N7UKIFRKJ5A,,"TransactionPool.Remember: transaction 3C7RAVCA7NIBS55QZTYTNAJLKUE4DNIZXCQBLORKU7VGC7322JWQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
41,890,127,1156796,125,125,127,127,125,1,0,URSGLYWHZPJABL5EXOZKGUAWAANEYLO3SSJF4VPDNL3LX4V3II3A,,"TransactionPool.Remember: transaction KE7T5GHLW6OV6OZYU6G3YB2HLRETNJZKMKFABEFUBBQWWKZQPYEQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
42,1240,144,1099677,125,125,144,144,125,1,0,WDJDSMI2HOS5WUEC7MG4E67WXEJHQTJHOWL3GJL4PJBL4RU6LOFA,,"TransactionPool.Remember: transaction WLT6IEZXHUJKA4HDKO2FDJZWTTC3QBRT4U4WDH6PLR4KM4DIXTOA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
43,1414,140,1062869,125,125,140,140,125,1,0,KS6UYTEC5XTPPSHE4JIVSYG66RHIFRB3AAWW3LEHOM2NOO43BRDQ,,"TransactionPool.Remember: transaction 7I24ZNHENZ6H5DHRVCFWAWYSRIDVWYEK47HUKIV4ZBIATKKB5OOA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
44,1565,162,1072555,125,125,162,162,125,1,0,P26GIFTE7DEQCYQBF23SVIGGQDVVYAQA2EL5S7JQXTOKUMSD4AVQ,,"TransactionPool.Remember: transaction FF25UNQLPTDNYB5XBPRPAS22ELAZQ7ATRPSMSKW7IA5JVNIMTM5A: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
45,1573,152,1057754,125,125,152,152,125,1,0,63FA4B4D2HMR5WWNTNR5J7YTYVZK2FIJEUKDA4ODCAPU5BB5YJGA,,"TransactionPool.Remember: transaction 5NJ6DCBRAWD736GQMK72CYHNK463SXP3WVTZFUCAK7MDCNXDJYWQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
46,1611,126,1018155,125,125,126,126,125,1,0,NWRGVBSWQZHLYRM5PBF4KXPT3URLHFOQM4UHQDK4NRJ4DYDS2VAA,,"TransactionPool.Remember: transaction 2KFVBMF2ZZW7DFNO6K75RVKDFBXAIBVP5DXIRMRNNRCPPNEU3HCQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
47,1620,132,1025184,125,125,132,132,125,1,0,XNJCXYQFQ2DC25MCHX3AIL6COGM5EFLY7ZZ7RTM7KZGCWCEKKXPQ,,"TransactionPool.Remember: transaction P7U7NXNZ4BRKEXAQGDIGKDWV6MD3BLH2A7N3TCNZKWNXNH2TM3IA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
48,1622,145,1042199,125,125,145,145,125,1,0,AMRJUXJ7ZFU6ZQ24UJDQVBF3ATOZOVJGKVPA74RUGS64BH37XM7Q,,"TransactionPool.Remember: transaction 5L7OTWSQDPQZS75BIOSDXSAIZFP3HPFXTLUOKME5TYWV7O7R7FPA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
49,1630,149,1046533,125,125,149,149,125,1,0,5QNALI27VMVLAPVSBN2BD3MN5LNZAKQKYNMQIYSWKYXTUQXOQADA,,"TransactionPool.Remember: transaction TYCR5QIFRXHRPUOZQ5JJSEQ5XAJVNHMCDT2BOM5FOKX2YUYAOUKQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
50,1621,153,1052929,125,125,153,153,125,1,0,3ZPTT6QFOYZFD3DHOFZ7HGXPCXTLU4XKXYCU2T63BWBFYSWTIPHA,,"TransactionPool.Remember: transaction B2PA6U6G7IAC4P7A6BAOAAXMYCDKKBWNGTT7NIAUDK3TTUWKOCGQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
51,1591,138,1036484,125,125,138,138,125,1,0,KWTLZ4BB4ZTFXR5N7TO25CZROXMPWXXVAU2PAXE3HOQ5ZH6MEKSA,,"TransactionPool.Remember: transaction NCO3DB753UOC2UI4GJWH2ER3LMZ2RJXRD5ZK2YKYSKXR4E7VARAQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
52,1576,130,1027347,125,125,130,130,125,1,0,RJQNSJPI5KV22TXYYZCFBNQM5TKE26H2JBUWNZPENF3HOB3MZ5HA,,"TransactionPool.Remember: transaction 3GMODMGVEZY6G6IZEBARPJ4IBYVC3JBHB2YGN7Q43VISGTPSXJSA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
53,1536,146,1054361,125,125,146,146,125,1,0,WDNJP3DTLJKA3OMKNTKVVB7JS5D5FRZGMC7CIPYEDPOCMSCH3R2Q,,"TransactionPool.Remember: transaction N35RI6A43MO6FV2UIEF5BH2XSSYWNLXPKVMFVXHQS5SWI5SVCZIA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
