interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,125,0,0,0,1,1,6MNOZNTJJDB22QVJGZD3M3ZBL65RG7EYDAJNC67E2KCSYYGGOM2Q,TLG6MDGKKOXVZG7LYNKHNLOGS2Z6WEHXBLUXEMX2NV3XCKYDYDUA,
1,0,74,3000000,0,125,0,0,0,1,1,P2BTCLFGWPQSBZAH23RAPBUNQF6V5ZUJZXXYCF3IN6O6LBTXOHJA,2TDIPPWACSDNVDGOEHBVSHDICUTWVJLZDU37B2GY6NLMHGOC33WA,
2,0,56,3000000,0,125,0,0,0,1,1,JMUT63REHXB2IUBO3Q6EFWS7AVA3QB67GIMDMIQWM5IQPXEIVNZA,WSW4YBUQE3BNHZA73ZLHO2GEEZRIP5WI6TQGACY4HRLQM4V65DFA,
3,0,43,3000000,0,125,0,0,0,1,1,FN67Y4FACKYU4PUDC3PN7J722E7MFSI2PWL7AC6NDORAYCPKEXJQ,O4Y5GEUTK2OZ7JSWAJOBUWI5TNVPJCVQALETHIV6YXTUJK7V6SLQ,
4,0,66,3000000,0,125,0,0,0,1,1,S7GN5KUZKIHFLP6NRJUTH7Z5OJM4HCLSBMHNEFCLNLP5SC3NUWIQ,6M6FDPAUABF7SRU774KDEKPLNX6K46AKDO47CUYIFBJRNTMXZX3Q,
5,0,76,3000000,0,125,0,0,0,1,1,UK2FJ4TMLCEJZ5A4CBCBO2GX4RGVN5AS2LAO3RHH6DRYTRYVGBOA,ZMN5LPVT2LNQUSBWLUUWNRZKAHG5PDNRBXQCOXS34IQZ4K2RU5IA,
6,0,58,3000000,0,125,0,0,0,1,1,BPN3YUOW4R5JT3FYVCC4OLMBPVTZVT5MEA47KBXM6ECSTYPOZXOA,2ZBEOLY53GXNCTGP56ZSSODOI33THZQPMX5RST4A7XMN5KMWT47A,
7,0,80,3000000,0,125,0,0,0,1,1,JBKNAZG7TB27LMP4HI43PDPJM3IUKP4UQSEUNOEQRL2FTOHEAMQA,FCBGYNTQGP6TRI2ACOPO25HMM7FHB5P5DSE55B2FLJMVCMGYBNYA,
8,0,57,3000000,0,125,0,0,0,1,1,2YUF46EBDHXGRRMJMEHWV5F7NBQJSWOL2LESX6O5HVFBGJOEVGKQ,5W3KOQTOORJL5T2XKQ6BHUR4H2EGV3RBBVO44M4FNVLI7YBWK3MA,
9,0,63,3000000,0,125,0,0,0,1,1,B4V4CVRNCZO5AWBOEEOFUIIUQE2GZRT36DS6S4TRCCIRC47BAELA,Q3TC7ZF3ZSBR24FZTQ7QFOBRRKRMEUSKLT4QW64UUAXA6K6MQSZQ,
10,0,73,3000000,0,125,0,0,0,1,1,6FIRYGTZLPMFTCJXG75XJICX7AS3UHBTKQQQJBY7UST5YTIBTHUQ,KP3RXECCDIF5DLVOYX7QBFFJZM2IRN5F2ONGFEYV5TL7TA5GK7KA,
11,0,69,3000000,0,125,0,0,0,1,1,KHIF2GA34QUDJ3ETAUIYG5B65PDFCPYAYGH6KP4LJBVCPIPQUPQQ,JY2R2QMLCPU2LC2BRBTOA26C7OTSYC5R5IORFB2VZ7N6CBPHDISA,
12,0,82,3000000,0,125,0,0,0,1,1,SC6ZFX3YKOH6AMETURF2JBJPHZJCG67TBC5HSAVTI6IS56UZOIYQ,HLDKJAMFDYI5JCRNWQ2LGWC7TEQ35LQCWPJ4YMIVONN7MZFCTPMA,
13,0,80,3000000,0,125,0,0,0,1,1,RRGZUWQVDRE3FWEX7KDAWJF5P7XVDLTT2KZBW3PNQ5THJO2ICUSA,3JCPEW74IHV4IW3DX5G35BCVYLLNNNM5XRYR2AOTS5QRHG3K3WHQ,
14,0,71,3000000,0,125,0,0,0,1,1,HBVSZLTHWSQOGWOH5WLFNQFQBCVQNYEJMJCDWYJF2ATOKSWDWPQQ,H5SFIVZ4FZQNIPNNIFV35ZGIAZS6R6ADB2OMPSJVUHEPJ6YC7YDQ,
15,0,90,3000000,0,125,0,0,0,1,1,FBTUAEEKQDAOFO4C4QEE3NOAZLRDIPCKKIYPQDVD45RCIT7ORYFQ,SOBDAJ6QSXRHOZW2XCLDLWZSVUDSIGEGFGYVEAPFGSLIQSTSARYQ,
16,0,80,3000000,0,125,0,0,0,1,1,A5GKMLF7DAYDEKQGHNMCTBXJUXYD5LNRHB5UEB6VOQQQYVYBEDYA,QSWIO5NS272D56VPSQRY3PMVSW4OYO2WGVOJQR4SB3KAKBHG2QHA,
17,0,101,3000000,0,125,0,0,0,1,1,3SZ3AUFBCGHOGEAMIPQJF47FW3QYE75FILDE45BVMV3RA3F4CYXQ,5DWLCILBRO6LDREVZD2OYWKO2Z3GSQH4E3ASTW7WKUBCHOXZWHSQ,
18,0,93,3000000,0,125,0,0,0,1,1,BIMAGNVMT3WQ753J5V5PIYQ2FRDRX25ZBOJTHMS6VKXRS7YUGARQ,MF5BGVD73KQISO77TTEKLHEYFKK45X3VQPR5L3IESBRWHE6FJMFQ,
19,0,117,3000000,0,125,0,0,0,1,1,XEZFNDCNLZUOJHGQ5VDMFJFTVCLYTSVSRTEW57YKMNOR7NNFYSHA,GMIVKAQSTIG5VAAHYM52C2GSMGGHJSESF6X6CWTWWPWOV4FAGPPA,
20,0,145,3000000,0,125,0,0,0,1,1,R2TJPUZCE2EZ5JLY2O3BYAUHXREHY2FPE4HOE6F4CTEHV3R5XNNQ,Y5X75FQCSEIIR5NHC6IOHB4JFO7PRIEDDGAKUBZB3DHUJ2BJXJ3Q,
