interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,1250,0,0,0,1,1,YAQHMBPQNWNGVKMBX2V7TTEOUPXQIHE4QDF2KLROEM3BUDRDCAMA,RKMN2SJWRYYYM24SRFFMCMFS7TUIHACRXN34LUI7EQTHKJDGSLFQ,
1,0,74,3000000,0,1250,0,0,0,1,1,BZGQNVFVL53SSFBTANGUEEJPGKDPZN74KBEQFTYR4GVTHKEMH6WQ,CDS7ZZGZUCQC2VVFRQAOWMHOGUQEWORF6DTFLXGUCMEA2OGDXNBQ,
2,0,56,3000000,0,1250,0,0,0,1,1,M33FVOO4ZG2UE5EQ7QMXILUR534UYIR6XFY7OKHIOMFYQPSSBKUA,6R45FT5ZRW2TROGBKMINYY7363GRJWFUFFSB4JIWMYGBWFPVDPWA,
3,0,43,3000000,0,1250,0,0,0,1,1,RGDRLFVYEUN3R6DDEPDNUPN2P72BEJYAQCAYWAPHCWNKQUDT6GEQ,5IC6BQLS25ZQNIREVU562WTTCPWVTSIZFYBVYKBHD7GK3LM5XDHQ,
4,0,66,3000000,0,1250,0,0,0,1,1,EEJZ62M42LNNITQUO27HVOWC5BM6WORS3PWRIFKQRFIA25HCSFWA,OOLVWLUHY6BT2F3PGLQW2K2BWLQ3F3RXMATAC2NLKMZ7JNAUROVA,
5,0,76,3000000,0,1250,0,0,0,1,1,ME4XNZ7HRJT47BDJ4QYE7PJB54E5XAP5GVIQEOCWNQGZXBJCRVBA,5MSDM7ZT72VPR5HJFLJ5D276NX27VEEYSQO3W7SW6P3OLHXTIMHA,
6,0,58,3000000,0,1250,0,0,0,1,1,7R4XR2UEQP4RR25FUFPACFI5Y46ZVEGK2Q6EWTKLYJAUWFMRWBVA,H4CRXVOL63MIIWK2UB5RXROCH55567YFRTRCGKDSEBB4LI6OVNYQ,
7,0,80,3000000,0,1250,0,0,0,1,1,TAGHNO62OXGERCJSRWGSUEECO2K74T32OWN5BNZL4Q4UB7I6MZZQ,XAYIWVLQ3A3XAX4GPVFIE3KFMPZMAKWNLTS4TS43BKIFYT2ZTJZQ,
8,0,57,3000000,0,1250,0,0,0,1,1,O6GJR3DQECNNYUUT3VD55HHRIZCKBOKTM3ZZJQ745HLPJ43CP6NA,H7QR3OCZNEAILY7WQUYUUACLBWMMX2Q4ISTBOT5S2QRBO2Z536FA,
9,0,63,3000000,0,1250,0,0,0,1,1,L3ALJOFNTRLGA3GPG5P4CQHGKHU7XWWITIJ4NQCE5WJXY252WMZQ,QEBTUTMEZTZXBGQ6T3GBHI62LNPBHXUXLGCZIJOOSNS5PKZDZTDQ,
10,0,73,3000000,0,1250,0,0,0,1,1,3VFFBGFWV72E6JC66XZVZLAREIGOUF7BRI3WW6H5OBZ6ESQ4QHJQ,5TSTJA6GLN6NUQEHB5KD2IXNHIIIJ7A7LJIAIMRGMFJALBEQYHPA,
11,0,69,3000000,0,1250,0,0,0,1,1,OUDGKLSOAFQNUEUB6CJKSYMNDNHBEBMS3GNAAL4A6DYJMLUI2NKA,3W2YOPQQU6NPGRCRSDCCUFBFQC773744JB2HTOKCJ62FM55WB42A,
12,0,82,3000000,0,1250,0,0,0,1,1,OP4X5UVHBL3SU3TZJEVQA672MK3JSYPZUXIL7AWRZ667CFGHODSQ,MEQ4D46LM7T5M3SKHH7R3PZHMSVRU4IZRWP5Q44FAVOJKLA26IJA,
13,0,80,3000000,0,1250,0,0,0,1,1,EPVB5MOV3BG7IIBG5EC3ERWDN6ZMTDK4MG2BQTLIUJLHDIRMQC3Q,IPDHF42L655E5DSCZQJPHF4YCRJRWZ5V6KQTOGBEJVXROWRQKZ5Q,
14,0,71,3000000,0,1250,0,0,0,1,1,CIZFDFNXTWOCZPGGODT5K2Z3MZP6JHMRZZUKY75C7ZW4AUS63MMQ,QKC6YCTVOW22VZHHCXG4KLWNJOJZNQUU5M4JI4D4D6IKR5L2KCRQ,
15,0,90,3000000,0,1250,0,0,0,1,1,URLXMGJIEDJNPCZKKKE3M5ZP5OPBJFLOGKEQNNCUUOCHVGODQBBQ,VPX4N4UUSCN2JTA44KJGMMVJONDK6BRIFKKV5QOB55CJ54H2RO5A,
16,0,80,3000000,0,1250,0,0,0,1,1,BFQUZDBWW476QDEO7GEAFJRIC6DPJGNYBJKSV7TZFSNZTSRYXFUA,WDNBYUNT3QTOKO7XJIJP4OLMQ36IH4DT4MYNAHVDNBLWPBX3OJTA,
17,0,101,3000000,0,1250,0,0,0,1,1,67QSMQFLLMTMM62T7JGWFCM25OWOD5Z6O3QA72FJMIMTDZMACJUQ,C3NY6GVIAIBGBSLPGWWQXOZYRJVQ7QDSVE464GD6M6Y6KA7H5Y5A,
18,0,93,3000000,0,1250,0,0,0,1,1,U5HMDL6JRH64M5RIUGQLNRQ7RUTMVQWFO4DBGNLLXCCQLRUYPVCQ,7WBKLBOEYNT6CL4JA7YZKE7YO6MXR36QU4C3DXL5U66GZ72TWKPQ,
19,0,117,3000000,0,1250,0,0,0,1,1,JH765PNAWJXIEAUMWSZ2GRUHHWWFVRMQQFGJ4OEGAU7ZFR5FSMTQ,ZH6ZTYNW5FKO6O6HEHORJ3Y3QNZLKAOES7ZN3RYNW4YYAO6UW3DQ,
20,0,145,3000000,0,1250,0,0,0,1,1,GH7MB2D5VPVP5RGUPKQBSXVAXPQUQ7AWZFCI3IALSZ5J7UUUG4JA,S7UODNZ2CWGQFTDCK2EWSAEISAHZD3ASGJLVVIK2JDQNXPUGYJDA,
21,0,186,3000000,0,1250,0,0,0,1,1,HPCRJDUO6STIHYIV6YHIXMKKMRQKHHTDCBRZISAIXAW5FNNAH77A,BQZ4BS3MNR6WXUEPVRRQOT4CK53DUB4WZBZMKNTWWYA6EP7Z537Q,
22,0,233,3000000,0,1250,0,0,0,1,1,ZNXXNBMFXKHYKXLDMTICGJLXYLV3WSON7EWPUEG7GBQ5ZHIPOYWA,7GHKA7742YEQTU5EK7QIAF2VLF5CJA7HU7IPFYIZSQYFSMDADD6Q,
23,0,294,3000000,0,1250,0,0,0,1,1,TBXIWEHM3E6BVJ4I3MQBDL2DPGMWDNSHXWKOWCUAYU6J65H4FY6Q,Y42HADYK6TO3SGW4CKDNG63VUTBXAVGBFYPVFFKM3L4OBRXJ5TWQ,
24,0,367,3000000,0,1250,0,0,0,1,1,PYCKX5HWPBDAISJJQEOHAEFXBTT4DALECNHAPTDE75KGQRJXR35A,GZFF657IDZ2ARUPCVPMYFGLT4I4IBORPYS76EP3M366Z5ICDILZQ,
25,0,427,3000000,0,1250,0,0,0,1,1,4SNO22URILV557QTE3C22U42JHX5ECPYMF6X44QEF4WSRCTQ7YXA,7IEFFABOJV5U33DXYH4WIT6L3YCS3FJCPKCISGIDG77TCZG2GRJA,
26,0,507,3000000,0,1250,0,0,0,1,1,HUUFJSM423K2OCBH6LRIQXMTVI6NFIQYD7XXYTHSGL6LRZPQNJGA,DE7RTS3DH7IXMAYD2JQEU2YOTTVFL2V4J7EW5NNAR6T4YNCIOGVA,
27,0,513,3000000,0,1250,0,0,0,1,1,YTVSKJX2FYO7T2DB7HP2IRXBONADKPGIOCYGKMD6N5SSJKKGLMGQ,NRL6Q4IHXGZOFXNYQB6GUT56T6WQHRZO2TUA3SRXJCGLOZSJOESQ,
28,0,542,3000000,0,1250,0,0,0,1,1,S3PKMMTQZA4OOCJ7O6TKMPB3ZO7DURFRTTZ5GAUY4P4FTH72GLOA,NEOCK7IP3WPPBMSVUJ5LR4LT5VU6DC5HSF5ZZGOQJYURWL7DUZYQ,
29,0,551,3000000,0,1250,0,0,0,1,1,3XO2GPCEA64VM2EHRPDH54A2VCGB2JZSYYBB5KC52JHYXD3XF3JA,2V2QWALOCUXPEUCIRRJBA2KY5FWESANC2ARTAIZOT4LPPDFHK7UQ,
30,0,481,3000000,0,1250,0,0,0,1,1,7SMSMOKHME6USQZS7C4GHOPQDTAGZSS4K3WCS7FJJBQHFA6ZQEXQ,QLC3IKMW6ETACAGLJSHLTZX6F3MLMS3YXXQYTGIAVU7NZUUPHZSA,
31,0,450,3000000,0,1250,0,0,0,1,1,DDQNFYP5F3E2PLKOV7PET37X2Z722QBHHEY6TCLDD6HU7JUPBNCQ,HILIZFC2EWEAC5MXJG44NIT5BULIYEYECY5V7MSNPWDSC3BZN7YA,
32,0,375,3000000,0,1250,0,0,0,1,1,EXOA3MVZO2R5E2XPL3PRJQ7RT75GYJX3Z6JVGLFJGLCPBA6HKFIQ,SP54LCR4MXWIZEJS45BR7VG5RHCNSRNE7JWGPNNMUWQ2GKVDRFPA,
33,0,336,3000000,0,1250,0,0,0,1,1,IUJ3JBFJPFX2Q3QMRFDLVCCM55ZPZOB3M4B3GXYMTSPZ7RHWPRNQ,5NUXKA2JELF2C6FM2MKYEXLOVHHLP5WVLZCLZZCYVYR4M7EY33PA,
34,0,258,3000000,0,1250,0,0,0,1,1,QITDPEEYWHT42VLBQDT2VADQQ77CAWS267HNRWDKQFMYRV35HVHQ,DSHEJCOJJ4JJSBINKUJGGF6FNPDEUZ736U4NZAAOZ7VENSQPMJTA,
35,0,211,3000000,0,1250,0,0,0,1,1,7ZNIUDV3KAG3BOWTMHJGDZCOEL4L5T3UOFGYDXXV46PCY4WOVZBQ,PTOSVPPJPTZTUZC5JRCGIBG7FOEROCI7LQKMMEYXZ5DKTENR7VUA,
36,0,183,3000000,0,1250,0,0,0,1,1,7FGB7AHX3RHBAWBF5DHQG5AUEILRV2CNIWW4CMHSPGMV2RAT7O4A,YPE6XPSQIRXKV2N3CVXHH6JRYGOUKRPOOEWA7X5ORLWM3GKAOAJA,
