interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,125,0,0,0,1,1,LSSECBL3EOMTZL6F25EHGAAXFH5OPQTTMAHBIDXWE57XFCRPBCWA,FHM47CNPXPLNAA7N53CE464FA67TW5WIHCL5R2UL6HDUVOEN6K3Q,
1,0,74,3000000,0,125,0,0,0,1,1,B7CXDOA3LTQ7QLTG5B4WI26XY6ENSCJJA453U4NIL6AS6G4H52RQ,JO4RSLJ3BSTOIMP7SAI52MNAZOFN4ARFG3JDIKEKCA4HBYF3YUHQ,
2,0,56,3000000,0,125,0,0,0,1,1,KWL3WUYRE3JBHV3OLH6JVEF7K7ZIYGSPMR4B4BYZKDSNHYNZ5Y7A,PVXUQJS4V7WUPQEE6ONTRHIQSECULP5SM7WMUKT6DKAT6DBKDJ3Q,
3,0,43,3000000,0,125,0,0,0,1,1,2YLIRDM6VP7TC2YYKWTXNGEYDPFJD6LBSUXGVPQRB5K4EZQ3K6QQ,72OCLO4SBWOSE5XDCY7KHPLOVAIWT64B4VBJFOPNYA5KM4VBGCKQ,
4,0,66,3000000,0,125,0,0,0,1,1,5R4S4WU7JUM2AVOUIUJ56Z4WWTPRBE7RAWDU4Q7WYR3IBZ24LU6Q,GWWOZ3WIXLKQYYQP7TMWNGJZNHKRTWI52VWTIC54DAAVQMOUCK4Q,
5,0,76,3000000,0,125,0,0,0,1,1,DKBTGNQEZJUBGOLF3KYN7BZPIMVQUKJR5PLTD75UZLUJ4B4BLUPQ,5LIA7ZHS4PAFQHRDWF3K7ZX7XLBKHK3B7GRBSU4JGJMNDYDLF2FA,
6,0,58,3000000,0,125,0,0,0,1,1,UJ4XV4TZM73CBPSBNR5SEYU4D7NV3QWR3JULIUY4WQOE73GGZMMQ,JWLGIXHHRRUR22FBFK4ANSNFNLN2LFZA65B7E24WRYC5NP6DCOEA,
7,0,80,3000000,0,125,0,0,0,1,1,O4DF2AMBNQGCWWA6L5UX52QV4G7OUD23L532S5GMIRZJIJVDUQCA,JF5OXTNPAV4V3VXZHRUBCHKETSH5VHKEVL6EVGNSIQVOJHDR6SQA,
8,0,57,3000000,0,125,0,0,0,1,1,IAJ24WG4VYUQDGWJICNBJC3RR3MYTFCAQB3I6AXJUEW7IYYJVZPQ,3S6SEG34WYCTNMWZUQWAA7OV6HAZZSTGOX24R6W5AHUSFJ3KT6ZA,
9,0,63,3000000,0,125,0,0,0,1,1,ZWLP3WBE7FWNPHMHUM63BUAOAVYGNDO7LLP2QAHZFREVWOTVHS6A,CGBSIXTHKQWDAAHSFHAGHMBLOJJLMAYURELC5D7LYX5ZCP7C7YJQ,
10,0,73,3000000,0,125,0,0,0,1,1,USOMEQKABSXJNHPZDKOY6A4SHXONAKAQMU3ZUXC66JAMRUVXKUIQ,LPWWIVYR6B3JXY4TZ2VFTXSI5NKV3HCZQ2CERJRNBVDXRPNHZWIA,
11,0,69,3000000,0,125,0,0,0,1,1,L5QLXWL3VAKIMDYDIPO3VLMQAI76A5PFLRQZ4VOYMSXZ3ALEDHQA,VCGZ3NTCA6GPN5KWDJUDKW5KM2TALKCBE4SYUAMANLLH2AAXV7ZA,
12,0,82,3000000,0,125,0,0,0,1,1,AZL4LFHKNSCZJ6FPXTLMNI7MVTQR6Z3B4XGXG7AZKCWI2XFILJFQ,45PDJLKI4S3CJNX5F4MNQQXOF6BGXDXHVDHLZEAZQ2FRXEDQC45A,
13,0,80,3000000,0,125,0,0,0,1,1,TXE3OPWOBHOIG2JXMWVR3K3X4HZOXEL2NE5TQ7QDHRP673KRB6GQ,AILZ2GEGUN27D2PNLCQTCBQG3FWC2BXLSEG7JMLM2U4TBJSYYOTQ,
14,0,71,3000000,0,125,0,0,0,1,1,OHCFQ4DW5GTRSTQHMZIIFVMPINUSC774NR64VVBV65VOH4I2IGQQ,KNKTSRRQPZPRMMXH6FGSGPRYHRKR2TNLGPYPFUVTELW6WH2LVNSA,
15,0,90,3000000,0,125,0,0,0,1,1,WT22LR4TMH6X6JN2DTX2Z5IQTTYBKNUBH2GRHV4RZUJMHZFCIKUQ,C6KNANRE64MSUZ3R5LF2KG4I7MSXEFHHIX75W2G7CX53DSHCCKDQ,
16,0,80,3000000,0,125,0,0,0,1,1,CYOWTMGWQ3UEONZXOZLVKZG5BRTSP357HNAP3EGMDRNPVFWUUZSA,5SYHQVGYNH3SZI6HMSTYTHJCZLFD5YFOXIEU7SR7BOSGRA7P2QXQ,
17,0,101,3000000,0,125,0,0,0,1,1,JGTSAJIFHR6WTXFCZCVE353FW55LU4RSD2MPAJPW7MYTAP4WQL6Q,4ZKUTDJDIMBU3KABDY2CP6DPOG27PJDBM3LE4CD26UOB4UM2T2PQ,
18,0,93,3000000,0,125,0,0,0,1,1,VHHTUDN6POW6YMJMRPSF6DJ52AFGF34PIUASFFQVORCCQFIA6KRQ,PBTJ52CEKSPICXTKHBIV7A4NMXMLTLJCVRUJCIDP56XRA7T4MKPQ,
19,0,117,3000000,0,125,0,0,0,1,1,GGBX67YYYYXQHFLVZITWC552WA56JIRMAWO6TTR377B7RT37KVMQ,ZRQQO32UM3EM4RAR3Y7UI74J7DNJJA2K5JIF5IADQKF27IDONFEA,
20,0,145,3000000,0,125,0,0,0,1,1,BQSUA7BWRP6CVZ4RLT422PNXZS4ME7T2FUIA2RRX4ZUCYTBFYMRQ,VAS7P22VD6E7G2STCOL6NDDIHULUXBMZCKWIQQ5UPXRDGBMGICFA,
21,0,186,3000000,0,125,0,0,0,1,1,HZDEFBVAF3APRLVBRX63C7M5VUO2YBGMVGJAA35CW53PQAF2NRPQ,KXX3XNJMK5BZBTIHIZEMJ7IFOOOASUWLYCQQK2IBMQJGLSSWIQZA,
22,0,233,3000000,0,125,0,0,0,1,1,67NIXZETQ6JCH5I2UXKVIO5Z2KFGNMXH2TKHDZZN3I5FCQCDJLVQ,T3DHQHAJ5I356KZAWA5SGZBFNZU34VZ4F4AKBZNEURLKOH6JBSDQ,
23,0,294,3000000,0,125,0,0,0,1,1,N37HOXOAGCBAZPMSIBVLJ47OGDGHUQYUSWJ6XQ65RXZY3PQ2PGIQ,MO5B6VUFF667EXHCKWOC4NLY6FKLRUG75BNVFXBA5VQSSZIWXLOA,
24,0,367,3000000,0,125,0,0,0,1,1,RLAQYFLJYDN3GWWCCCWQ7P5VT4KJ546SVIJ3SOOC3VP44N33RMHA,HK7SDMFQZHTIAWOYACBEQINP6TTWNKRB6PSN2QPEJYC2MOPSX6HQ,
25,0,427,3000000,0,125,0,0,0,1,1,ZPQJFW6QZT6W726PBDJCH5APJBXCHMTAGYBVE2MG2JHGBE2VVHYQ,P7TDS7RVXO6YZFPATY7D7OKH3XW4TJLB2MAXPMXYXXDA4HSEAZUQ,
