interval,total_load_kwh,total_pv_kwh,battery_charge_kwh,battery_discharge_kwh,avg_soc_pct,p2p_traded_kwh,mcp_price_zar_per_kwh,curtailment_kwh,grid_import_kwh,feeder_overload_flag
0,1.2079642564786606,0.1674666187359259,0.06569651441926305,0.5646823482011499,49.66734277747874,0.0,0.0,0.0,0.5415118039608479,0
1,1.106513360887591,0.20652902390267322,0.059323159874091314,0.28475734360039723,49.517053321661194,0.0,0.0,0.0,0.6745501532586121,0
2,1.2150272422173645,0.1467508705180715,0.03179240660988342,0.4623770221723893,49.2299969112862,0.0,0.0,0.0,0.6376917561367871,0
3,0.985164296902716,0.23386746008520476,0.10566461043285162,0.23511603232901218,49.14369596335543,0.0,0.0,0.0,0.6218454149213507,0
4,1.384065991849253,0.1866860701187567,0.0,0.5009256369349286,48.80974553873213,0.0,0.0,0.0,0.6964542847955678,0
5,1.28135374168529,0.1869676297083126,0.02507851892985683,0.4061776707485006,48.55567943751971,0.0,0.0,0.0,0.7132869601583336,0
6,1.2135033350980275,0.19015022065399229,0.0077445523831451285,0.5183034513747329,48.215306838191985,0.0,0.0,0.0,0.5127942154524477,0
7,1.49099538383163,0.23362799271439233,0.02930751646696028,0.647946589778933,47.80288078931735,0.0,0.0,0.0,0.6387283178052652,0
8,1.3282187559857104,0.09131625522450443,0.053141864081642017,0.6360298013358033,47.4142888311479,0.0,0.0,0.0,0.6540145635070449,0
9,1.2153486062883743,0.1013385521290732,0.0064920136014758045,0.5173886943527906,47.07369104398036,0.0,0.0,0.0,0.6031133734079862,0
10,1.5151780665186687,0.1075897854138261,0.017643753563220708,0.6894103977075805,46.62584661455077,0.0,0.0,0.0,0.735821636960483,0
11,1.3605301311920837,0.15173419284521822,0.09954971489940545,0.6004990292240225,46.29188040500103,0.0,0.0,0.0,0.7078466240222483,0
12,1.3962652944357485,0.20178647434514443,0.005130837149555072,0.4583498887622594,45.98973437059256,0.0,0.0,0.0,0.7412597684778999,0
13,1.4988849344449136,0.17504739523559937,0.002367494295186635,0.5679505121471801,45.6126790253579,0.0,0.0,0.0,0.758254521357321,0
14,1.3930807327753771,0.22868765579637662,0.051243531606831975,0.559771923234153,45.27366009760637,0.0,0.0,0.0,0.6558646853516796,0
15,1.3148782762761984,0.11098727855878411,0.0,0.5020619956948462,44.938952100476456,0.0,0.0,0.0,0.701829002022568,0
16,1.718779342794423,0.13088611727015265,0.0,0.6661370589905586,44.49486072781609,0.0,0.0,0.0,0.9217561665337116,0
17,1.9725895336568442,0.13535379895111793,0.0,0.7103498486677445,44.02129416203759,0.0,0.0,0.0,1.1268858860379818,0
18,2.2070080585261183,0.28605188875455234,0.005006250996682393,0.8130313952532457,43.482610732533225,0.0,0.0,0.0,1.112931025515002,0
19,2.2881936866701125,0.13189635859773055,0.0019995231236053443,0.9675925092433245,42.83888207512007,0.0,0.0,0.0,1.1907043419526626,0
20,2.958160598574997,0.2055879699682211,0.0,1.2871228261453034,41.9808001910232,0.0,0.0,0.0,1.4654498024614726,0
21,3.6558909998584204,0.11689286497080316,0.0,1.5296505303093086,40.96103317081699,0.0,0.0,0.0,2.0093476045783083,0
22,4.525369665241032,0.14767322864364277,0.0,2.0536517037073847,39.59193203501207,0.0,0.0,0.0,2.324044732890004,0
23,5.771743087421404,0.13524716096521777,0.0,2.6830773930186833,37.80321377299962,0.0,0.0,0.0,2.9534185334375036,0
24,7.071122428596464,0.1371372736103973,0.0,3.399281118920766,35.537026360385774,0.0,0.0,0.0,3.5347040360653024,0
25,8.210309956313132,1.1173403141228142,0.0,3.029890612516068,33.517099285375046,0.0,0.0,0.0,4.06307902967425,0
26,9.036109719759514,2.546642785044977,0.0,1.9428101817848085,32.22189249751852,0.0,0.0,0.0,4.546656752929726,0
27,10.155197518192818,3.480922311919477,0.07202087862024745,1.7580496206941307,31.09787333613594,0.0,0.0,0.0,4.988246464199458,0
28,10.310230379669555,4.767385960573366,0.5045811543424851,0.8196503547690559,30.887827202518213,0.0,0.0,0.0,5.227775218669618,0
29,10.05708238567154,5.867796139473197,1.0806010817332008,0.21665317632957398,31.4637924727873,0.0,0.0,0.0,5.053234151601971,0
30,9.321438937273966,7.076930809764472,2.5459804857122625,0.015880259551582454,33.15052595689442,0.0,0.0,0.0,4.774608353670173,0
31,8.538042450274427,8.158809008908818,3.9006318451074447,0.0,35.75094718696605,0.0,0.0,0.0,4.279865286473051,0
